"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","bonds_outstanding","loans_outstanding","notes_outstanding","population","median_hh_income","url","urban_pop","pct_urban_pop","flg_acfr","flg_county","latitude","longitude"
"1","TX","Texas",130321,"4848936",2023,"monahans","General Purpose",6853054,2976388,1432802,NA,1054209,NA,42587826,15644384,462113,11790617,14487120,9744668,NA,NA,NA,7837,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/Monahans/TX%20Monahans%202023.pdf",NA,NA,1,0,31.5890519,"-102.8861902"
"2","UT","Utah",88529,"4914840",2023,"coalville city","General Purpose",8800010,734948,63446,NA,NA,NA,34366776,2520025,24700,3314762,8878137,1476740,8204510,NA,NA,1486,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/UT/Coalville%20City/UT%20Coalville%20City%202023.pdf",NA,NA,1,0,40.91686,"-111.3984121"
"3","WA","Washington",89030,"5323620",2023,"ferndale","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,15058,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WA/Ferndale/WA%20Ferndale%202023.pdf",NA,NA,1,0,48.8466698,"-122.589723"
"4","WA","Washington",89160,"5345005",2023,"mercer island","General Purpose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,25751,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WA/Mercer%20Island/WA%20Mercer%20Island%202023.pdf",NA,NA,1,0,47.5766324,"-122.2276378"
"5","TX","Texas",88176,"4827348",2023,"fredericksburg","General Purpose",67235300,10670264,21238192,NA,600381,NA,135029866,47837295,1732015,55571810,63574486,6669947,23272759,NA,3945000,10872,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/Fredericksburg/TX%20Fredericksburg%202023.pdf",NA,NA,1,0,30.2752011,"-98.8719843"
"6","TX","Texas",129771,"4830116",2023,"gonzales","General Purpose",22129154,2971431,3593831,NA,258808,NA,61465344,15723245,271822,24315059,27112509,9434347,14521410,NA,NA,7161,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/Gonzales/TX%20Gonzales%202023.pdf",NA,NA,1,0,29.4436555,"-97.5108636"
"7","TX","Texas",129820,"4868828",2023,"sour lake","General Purpose",1195405,738664,NA,84268,31741,NA,17099508,7460054,NA,3023875,4534501,4777228,505000,NA,NA,1773,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/Sour%20Lake/TX%20Sour%20Lake%202023.pdf",NA,NA,1,0,30.1402122,"-94.4110239"
"8","TX","Texas",129770,"4830080",2023,"goliad","General Purpose",2894112,1725316,NA,105620,57995,NA,16212539,6761326,31005,3402799,5210520,3973887,850000,NA,389860,1616,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/Goliad/TX%20Goliad%202023.pdf",NA,NA,1,0,28.6467776,"-97.4379552"
"9","TX","Texas",129833,"4869020",2023,"south houston","General Purpose",17653938,9745702,3509262,NA,376386,NA,57532027,18487212,1253055,19218328,22866100,3879921,3170000,NA,NA,16157,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/South%20Houston/TX%20South%20Houston%202023.pdf",NA,NA,1,0,29.663008,"-95.2354902"
"10","UT","Utah",130431,"4929580",2023,"glenwood town","General Purpose",421917,97917,NA,NA,NA,NA,4447593,1488028,NA,268290,1577940,935792,363250,NA,NA,471,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/UT/Glenwood%20Town/UT%20Glenwood%20Town%202023.pdf",NA,NA,1,0,NA,NA
"11","TX","Texas",129961,"4838860",2023,"kenedy","General Purpose",12657234,2128233,1122695,NA,76821,NA,95541502,28531241,85350,13037000,18259648,6440197,10124136,NA,NA,3486,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/Kenedy/TX%20Kenedy%202023.pdf",NA,NA,1,0,26.9205171,"-97.7461361"
"12","TX","Texas",129838,"4871960",2023,"taylor lake","General Purpose",1151353,1147421,NA,NA,NA,NA,15617095,10190103,NA,3185235,4006516,5258450,NA,NA,NA,3701,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/Taylor%20Lake/TX%20Taylor%20Lake%202023.pdf",NA,NA,1,0,29.5914543,"-95.0423062"
"13","TX","Texas",129949,"4838548",2023,"keene","General Purpose",15704566,3031571,1240798,NA,147564,NA,31231889,9828450,193836,8348502,10332253,4488148,10034881,NA,1437000,6419,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/Keene/TX%20Keene%202023.pdf",NA,NA,1,0,32.4009281,"-97.3270577"
"14","TX","Texas",129948,"4838080",2023,"joshua","General Purpose",16891886,2862069,13119,NA,65392,NA,31160228,2485905,209616,9862686,9992556,5259468,11329408,NA,3401921,7918,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/Joshua/TX%20Joshua%202023.pdf",NA,NA,1,0,32.4612418,"-97.3882581"
"15","WV","West Virginia",130919,"5401996",2023,"ansted","General Purpose",3858853,570591,21349,NA,3441,NA,6071057,1142087,7092,959332,1808745,732818,3352470,NA,NA,1313,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WV/Ansted/WV%20Ansted%202023.pdf",NA,NA,1,0,38.136411,"-81.0994268"
"16","AL","Alabama",1266569,"0141296",2023,"lanett","General Purpose",23189165,2554784,4865580,NA,NA,NA,37700704,7283414,1034488,20852989,20569986,439025,NA,NA,NA,6971,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AL/Lanett/AL%20Lanett%202023.pdf",NA,NA,1,0,32.8687391,"-85.1904971"
"17","WV","West Virginia",130916,"5454484",2023,"milton","General Purpose",18858364,4473144,122056,NA,29503,NA,34304935,6377621,39773,5212176,9008358,NA,14653987,NA,NA,2809,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WV/Milton/WV%20Milton%202023.pdf",NA,NA,1,0,38.4345321,"-82.1323637"
"18","TX","Texas",130005,"4842532",2023,"lexington","General Purpose",1705778,1274931,247546,NA,NA,NA,9943330,2242407,27420,3205653,3609917,1725862,460000,NA,35817,1219,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/Lexington/TX%20Lexington%202023.pdf",NA,NA,1,0,30.415222,"-97.0097922"
"19","TX","Texas",130072,"4862672",2023,"rockdale","General Purpose",36377090,2418264,874194,NA,153107,NA,57018136,30853761,211525,9138464,10755406,2318406,31105000,NA,2990000,5329,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/Rockdale/TX%20Rockdale%202023.pdf",NA,NA,1,0,30.6549433,"-97.0058245"
"20","TX","Texas",130066,"4854684",2023,"palacios","General Purpose",6930992,2007495,585268,NA,121536,NA,30730902,5234768,63373,6797643,8243776,1247928,1677143,NA,107000,4399,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/Palacios/TX%20Palacios%202023.pdf",NA,NA,1,0,28.7074641,"-96.2175557"
"21","TX","Texas",130137,"4877752",2023,"west orange","General Purpose",2841836,457805,2034619,NA,NA,NA,9723466,7192055,388236,6830482,6774778,1846651,NA,NA,NA,3460,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/TX/West%20Orange/TX%20West%20Orange%202023.pdf",NA,NA,1,0,30.0821548,"-93.7582224"
"22","WV","West Virginia",131020,"5404876",2023,"bath","General Purpose",4448248,745568,25280,0,4650,0,13574344,1010606,0,2004712,3865553,580332,3973374,0,0,755,NA,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WV/Bath/WV%20Bath%202023.pdf",NA,NA,1,0,39.6267975,"-78.2279514"
