"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","bonds_outstanding","loans_outstanding","notes_outstanding","population","urban_pop","pct_urban_pop","median_hh_income","url","flg_acfr"
"1","MN","Minnesota",34704,"27",2023,"minnesota","General Purpose",23363306000,9570608000,3819713000,NA,731542000,NA,65944934000,41730474000,585414,53633488000,61778539000,14050527000,8039193000,84568000,NA,5706504,4101754,71.878705208487,85086,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MN/State%20of%20Minnesota/MN%20State%20of%20Minnesota%202023.pdf",1
"2","IN","Indiana",196751,"18",2023,"indiana","General Purpose",20187034000,9146630000,10097422000,282000,68914000,NA,45752216000,25430256000,226619,47598914000,52075385000,7361440000,NA,NA,NA,6785668,4829686,71.1762739760266,69477,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/IN/State%20of%20Indiana/IN%20State%20of%20Indiana%202023.pdf",1
"3","WA","Washington",39528,"53",2023,"washington","General Purpose",93371863000,16779191000,1518392000,5581494000,4245405000,NA,133741566000,49263327000,1040165000,85433535000,91889102000,-10587148000,28340793000,NA,1205000,7705247,6424035,83.3718458807667,94605,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/WA/State%20of%20Washington/WA%20State%20of%20Washington%202023.pdf",1
"4","CO","Colorado",31946,"08",2023,"colorado","General Purpose",43122163000,15031632000,15149174000,NA,1411029000,NA,62736138000,29093489000,756677000,48647774000,49998371000,1573519000,4854712000,NA,943124000,5773733,4966936,86.0267065531822,92911,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/State%20of%20Colorado/CO%20State%20of%20Colorado%202023.pdf",1
"5","KY","Kentucky",90208,"21",2023,"kentucky","General Purpose",42245074000,4146870000,28985348000,NA,2415033000,NA,44136826000,15958330000,321769000,38745528000,42585402000,-22270975000,4935050000,NA,435602000,4505893,2644856,58.6984524070561,61118,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/KY/Commonwealth%20of%20Kentucky/KY%20Commonwealth%20of%20Kentucky%202023.pdf",1
"6","AR","Arkansas",49082,"05",2023,"arkansas","General Purpose",12000837000,3727715000,2388842000,NA,1535961000,NA,37956112000,16601411000,305362000,27681127000,30525010000,1293514000,2926842000,NA,247946000,3011555,1670677,55.476131022034,58700,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AR/State%20of%20Arkansas/AR%20State%20of%20Arkansas%202023.pdf",1
"7","MA","Massachusetts",149462,"25",2023,"massachusetts","General Purpose",120087842000,15991084000,41671866000,NA,12691524000,NA,58683423000,37066004000,1032724000,87153491000,91028754000,-70187860000,46352040000,NA,NA,7029949,6416895,91.2798116962121,99858,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MA/Commonwealth%20of%20Massachusetts/MA%20Commonwealth%20of%20Massachusetts%202023.pdf",1
"8","HI","Hawaii",71062,"15",2023,"hawaii","General Purpose",27517241000,3665659000,6791174000,NA,4765622000,NA,30733824000,13554979000,299481000,15189728000,18924417000,-7403133000,12357333000,NA,NA,1455273,1252450,86.0630081957244,95322,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/HI/State%20of%20Hawaii/HI%20State%20of%20Hawaii%202023.pdf",1
"9","UT","Utah",39282,"49",2023,"utah","General Purpose",6562971000,3554299000,641507000,859000,1610000,18441000,49566056000,24826908000,254992000,20201111000,24277085000,10314882000,2188574000,NA,3035000,3271614,2937303,89.7814107768149,93421,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/UT/State%20of%20Utah/UT%20State%20of%20Utah%202023.pdf",1
"10","AL","Alabama",31550,"01",2023,"alabama","General Purpose",16833587000,4414992000,4898527000,NA,963634000,NA,48253269000,23618989000,353018000,33887025000,36145461000,-7575497000,5985267000,52953000,NA,5024356,2900880,57.7372395123758,62212,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AL/State%20of%20Alabama/AL%20State%20of%20Alabama%202023.pdf",1
