"Rank","State","Aggregate Bonds, Loans, & Notes per capita","Aggregate Bonds, Loans, & Notes"
1,"Connecticut","$11,435","$ 41.23B"
2,"Massachusetts","$10,023","$ 70.46B"
3,"Texas","$ 9,854","$287.19B"
4,"New York","$ 9,743","$196.83B"
5,"Hawaii","$ 9,382","$ 13.65B"
6,"North Dakota","$ 9,151","$  7.13B"
7,"Oregon","$ 8,544","$ 36.20B"
8,"Washington","$ 8,030","$ 61.87B"
9,"California","$ 7,847","$310.27B"
10,"Illinois","$ 7,621","$ 97.65B"
11,"Maryland","$ 7,585","$ 46.85B"
12,"Minnesota","$ 5,898","$ 33.66B"
13,"Wisconsin","$ 5,849","$ 34.47B"
14,"Delaware","$ 5,795","$  5.74B"
15,"New Jersey","$ 5,444","$ 50.57B"
16,"Kansas","$ 5,287","$ 15.53B"
17,"Iowa","$ 5,099","$ 16.27B"
18,"Rhode Island","$ 5,014","$  5.50B"
19,"Nevada","$ 4,945","$ 15.35B"
20,"Utah","$ 4,666","$ 15.26B"
21,"Virginia","$ 4,624","$ 39.91B"
22,"Colorado","$ 4,566","$ 26.36B"
23,"Nebraska","$ 4,562","$  8.95B"
24,"Ohio","$ 4,440","$ 52.39B"
25,"Michigan","$ 4,405","$ 44.40B"
26,"New Mexico","$ 4,081","$  8.64B"
27,"Alaska","$ 3,950","$  2.90B"
28,"Louisiana","$ 3,731","$ 17.38B"
29,"Florida","$ 3,667","$ 78.98B"
30,"Pennsylvania","$ 3,653","$ 47.49B"
31,"Missouri","$ 3,623","$ 22.30B"
32,"Arkansas","$ 3,557","$ 10.71B"
33,"Georgia","$ 3,521","$ 37.72B"
34,"South Carolina","$ 3,438","$ 17.60B"
35,"Arizona","$ 3,438","$ 24.58B"
36,"South Dakota","$ 3,341","$  2.96B"
37,"North Carolina","$ 3,250","$ 33.92B"
38,"Kentucky","$ 3,198","$ 14.41B"
39,"Maine","$ 3,135","$  4.27B"
40,"Oklahoma","$ 3,100","$ 12.27B"
41,"Mississippi","$ 2,838","$  8.41B"
42,"Tennessee","$ 2,810","$ 19.42B"
43,"New Hampshire","$ 2,784","$  3.84B"
44,"West Virginia","$ 2,715","$  4.87B"
45,"Vermont","$ 2,395","$  1.54B"
46,"Indiana","$ 2,015","$ 13.67B"
47,"Alabama","$ 1,977","$  9.93B"
48,"Montana","$ 1,926","$  2.09B"
49,"Idaho","$ 1,812","$  3.33B"
50,"Wyoming","$   514","$  0.30B"
