"Rank","State","Aggregate Long Term Debt per Capita","Aggregate Long Term Debt"
1,"New York","$31,395","$634.22B"
2,"New Jersey","$31,086","$288.76B"
3,"Connecticut","$31,002","$111.79B"
4,"Illinois","$28,317","$362.82B"
5,"Massachusetts","$24,624","$173.10B"
6,"California","$19,491","$770.64B"
7,"Hawaii","$18,851","$ 27.43B"
8,"North Dakota","$18,148","$ 14.14B"
9,"Delaware","$17,671","$ 17.49B"
10,"Maryland","$17,418","$107.59B"
11,"Texas","$15,818","$461.03B"
12,"Washington","$15,412","$118.75B"
13,"Rhode Island","$13,873","$ 15.22B"
14,"Alaska","$13,032","$  9.56B"
15,"Oregon","$13,006","$ 55.11B"
16,"New Mexico","$12,341","$ 26.13B"
17,"Kentucky","$12,052","$ 54.31B"
18,"Colorado","$11,794","$ 68.10B"
19,"Louisiana","$11,463","$ 53.39B"
20,"Nevada","$11,238","$ 34.89B"
21,"Michigan","$11,224","$113.11B"
22,"Pennsylvania","$11,221","$145.90B"
23,"Vermont","$10,234","$  6.58B"
24,"Ohio","$ 9,991","$117.89B"
25,"Minnesota","$ 9,981","$ 56.96B"
26,"Georgia","$ 9,661","$103.49B"
27,"Kansas","$ 9,620","$ 28.26B"
28,"South Carolina","$ 9,354","$ 47.88B"
29,"Alabama","$ 8,769","$ 44.06B"
30,"Wyoming","$ 8,631","$  4.98B"
31,"Arizona","$ 8,622","$ 61.66B"
32,"Florida","$ 8,598","$185.19B"
33,"Wisconsin","$ 8,445","$ 49.77B"
34,"New Hampshire","$ 7,971","$ 10.98B"
35,"North Carolina","$ 7,815","$ 81.58B"
36,"Virginia","$ 7,625","$ 65.81B"
37,"Maine","$ 7,536","$ 10.27B"
38,"Arkansas","$ 7,490","$ 22.56B"
39,"Nebraska","$ 7,192","$ 14.11B"
40,"Mississippi","$ 7,161","$ 21.21B"
41,"Missouri","$ 7,102","$ 43.71B"
42,"Iowa","$ 6,606","$ 21.08B"
43,"Montana","$ 6,442","$  6.98B"
44,"West Virginia","$ 5,894","$ 10.57B"
45,"Utah","$ 5,484","$ 17.94B"
46,"Oklahoma","$ 5,112","$ 20.24B"
47,"South Dakota","$ 4,564","$  4.05B"
48,"Indiana","$ 4,296","$ 29.15B"
49,"Tennessee","$ 4,105","$ 28.37B"
50,"Idaho","$ 3,894","$  7.16B"
