"Rank","State","Aggregate Pension Debt per Capita","Aggregate Total Pension Debt"
1,"Illinois","$17,784","$227.85B"
2,"Connecticut","$12,995","$ 46.86B"
3,"New Jersey","$10,603","$ 98.49B"
4,"Massachusetts","$ 8,326","$ 58.53B"
5,"Alaska","$ 7,828","$  5.74B"
6,"Kentucky","$ 7,395","$ 33.32B"
7,"New Mexico","$ 6,739","$ 14.27B"
8,"California","$ 6,724","$265.84B"
9,"North Dakota","$ 6,701","$  5.22B"
10,"Rhode Island","$ 6,524","$  7.16B"
11,"Hawaii","$ 5,644","$  8.21B"
12,"Vermont","$ 5,328","$  3.43B"
13,"Michigan","$ 5,263","$ 53.04B"
14,"Colorado","$ 5,231","$ 30.20B"
15,"Pennsylvania","$ 5,012","$ 65.17B"
16,"Nevada","$ 4,868","$ 15.11B"
17,"Maryland","$ 4,481","$ 27.68B"
18,"Georgia","$ 4,231","$ 45.33B"
19,"Wyoming","$ 4,201","$  2.42B"
20,"Ohio","$ 4,107","$ 48.45B"
21,"Mississippi","$ 4,005","$ 11.86B"
22,"Montana","$ 3,884","$  4.21B"
23,"Oregon","$ 3,820","$ 16.19B"
24,"South Carolina","$ 3,610","$ 18.48B"
25,"Louisiana","$ 3,606","$ 16.80B"
26,"Alabama","$ 3,586","$ 18.02B"
27,"Arizona","$ 3,464","$ 24.77B"
28,"Texas","$ 3,277","$ 95.52B"
29,"New Hampshire","$ 3,218","$  4.43B"
30,"Kansas","$ 3,192","$  9.38B"
31,"New York","$ 3,126","$ 63.15B"
32,"Minnesota","$ 3,008","$ 17.17B"
33,"Arkansas","$ 2,867","$  8.63B"
34,"Florida","$ 2,679","$ 57.71B"
35,"Delaware","$ 2,137","$  2.12B"
36,"Missouri","$ 2,064","$ 12.71B"
37,"Virginia","$ 2,044","$ 17.64B"
38,"West Virginia","$ 1,923","$  3.45B"
39,"Indiana","$ 1,860","$ 12.62B"
40,"Maine","$ 1,853","$  2.53B"
41,"North Carolina","$ 1,776","$ 18.54B"
42,"Nebraska","$ 1,736","$  3.40B"
43,"Idaho","$ 1,725","$  3.17B"
44,"Iowa","$ 1,192","$  3.80B"
45,"Wisconsin","$ 1,159","$  6.83B"
46,"Oklahoma","$ 1,090","$  4.32B"
47,"Utah","$   783","$  2.56B"
48,"Tennessee","$   423","$  2.93B"
49,"District of Columbia","$    73","$  0.05B"
50,"South Dakota","$   -13","$ -0.01B"
51,"Washington","$  -341","$ -2.63B"
