"Rank","State","Aggregate Bonds, Loans, & Notes","Aggregate Bonds, Loans, & Notes per capita"
1,"California","$310.27B","$ 7,847"
2,"Texas","$287.19B","$ 9,854"
3,"New York","$196.83B","$ 9,743"
4,"Illinois","$ 97.65B","$ 7,621"
5,"Florida","$ 78.98B","$ 3,667"
6,"Massachusetts","$ 70.46B","$10,023"
7,"Washington","$ 61.87B","$ 8,030"
8,"Ohio","$ 52.35B","$ 4,436"
9,"New Jersey","$ 50.57B","$ 5,444"
10,"Pennsylvania","$ 47.49B","$ 3,653"
11,"Maryland","$ 46.85B","$ 7,585"
12,"Michigan","$ 44.40B","$ 4,405"
13,"Connecticut","$ 41.23B","$11,435"
14,"Virginia","$ 39.91B","$ 4,624"
15,"Georgia","$ 37.72B","$ 3,521"
16,"Oregon","$ 36.20B","$ 8,544"
17,"Wisconsin","$ 34.47B","$ 5,849"
18,"North Carolina","$ 33.92B","$ 3,250"
19,"Minnesota","$ 33.66B","$ 5,898"
20,"Colorado","$ 26.36B","$ 4,566"
21,"Arizona","$ 24.58B","$ 3,438"
22,"Missouri","$ 22.30B","$ 3,623"
23,"Tennessee","$ 19.42B","$ 2,810"
24,"South Carolina","$ 17.60B","$ 3,438"
25,"Louisiana","$ 17.38B","$ 3,731"
26,"Iowa","$ 16.27B","$ 5,099"
27,"Kansas","$ 15.53B","$ 5,287"
28,"Nevada","$ 15.35B","$ 4,945"
29,"Utah","$ 15.26B","$ 4,666"
30,"Kentucky","$ 14.41B","$ 3,198"
31,"Indiana","$ 13.67B","$ 2,015"
32,"Hawaii","$ 13.65B","$ 9,382"
33,"District of Columbia","$ 12.56B","$18,219"
34,"Oklahoma","$ 12.27B","$ 3,100"
35,"Arkansas","$ 10.71B","$ 3,557"
36,"Alabama","$  9.93B","$ 1,977"
37,"Nebraska","$  8.95B","$ 4,562"
38,"New Mexico","$  8.64B","$ 4,081"
39,"Mississippi","$  8.41B","$ 2,838"
40,"North Dakota","$  7.13B","$ 9,151"
41,"Delaware","$  5.74B","$ 5,795"
42,"Rhode Island","$  5.50B","$ 5,014"
43,"West Virginia","$  4.92B","$ 2,740"
44,"Maine","$  4.27B","$ 3,135"
45,"New Hampshire","$  3.84B","$ 2,784"
46,"Idaho","$  3.33B","$ 1,812"
47,"South Dakota","$  2.96B","$ 3,341"
48,"Alaska","$  2.90B","$ 3,950"
49,"Montana","$  2.09B","$ 1,926"
50,"Vermont","$  1.54B","$ 2,395"
51,"Wyoming","$  0.30B","$   514"
