"Rank","State","Bonds, Loans, & Notes  per capita","Bonds, Loans, & Notes"
1,"Hawaii","$8,491","$ 12.36B"
2,"Connecticut","$8,090","$ 29.17B"
3,"Massachusetts","$6,594","$ 46.35B"
4,"Delaware","$4,413","$  4.37B"
5,"North Dakota","$4,369","$  3.40B"
6,"Washington","$3,678","$ 28.34B"
7,"Maryland","$3,541","$ 21.87B"
8,"Oregon","$3,215","$ 13.62B"
9,"New Jersey","$2,917","$ 27.09B"
10,"California","$2,828","$111.83B"
11,"Rhode Island","$2,743","$  3.01B"
12,"New York","$2,487","$ 50.23B"
13,"Illinois","$2,365","$ 30.31B"
14,"Texas","$2,284","$ 66.56B"
15,"Wisconsin","$2,117","$ 12.47B"
16,"Mississippi","$1,841","$  5.45B"
17,"West Virginia","$1,825","$  3.27B"
18,"New Mexico","$1,770","$  3.75B"
19,"Louisiana","$1,676","$  7.81B"
20,"Alaska","$1,616","$  1.19B"
21,"Minnesota","$1,424","$  8.12B"
22,"Ohio","$1,394","$ 16.45B"
23,"Georgia","$1,319","$ 14.13B"
24,"Alabama","$1,202","$  6.04B"
25,"Kentucky","$1,192","$  5.37B"
26,"Virginia","$1,185","$ 10.23B"
27,"Pennsylvania","$1,160","$ 15.09B"
28,"Arkansas","$1,054","$  3.17B"
29,"Nevada","$1,032","$  3.21B"
30,"Colorado","$1,004","$  5.80B"
31,"Iowa","$  981","$  3.13B"
32,"Maine","$  940","$  1.28B"
33,"New Hampshire","$  899","$  1.24B"
34,"Vermont","$  882","$  0.57B"
35,"Oklahoma","$  881","$  3.49B"
36,"South Dakota","$  826","$  0.73B"
37,"Michigan","$  812","$  8.18B"
38,"Arizona","$  799","$  5.71B"
39,"Florida","$  785","$ 16.91B"
40,"North Carolina","$  783","$  8.18B"
41,"Idaho","$  672","$  1.24B"
42,"Utah","$  670","$  2.19B"
43,"Kansas","$  546","$  1.60B"
44,"Missouri","$  353","$  2.17B"
45,"South Carolina","$  314","$  1.61B"
46,"Tennessee","$  230","$  1.59B"
47,"Montana","$   69","$  0.08B"
48,"Wyoming","$    9","$  0.01B"
49,"Indiana","$    0","$  0.00B"
50,"Nebraska","$    0","$  0.00B"
