"Rank","State","Total Long Term Debt","Long Term Debt per Capita"
1,"California","$298.60B","$ 7,552"
2,"Illinois","$198.76B","$15,513"
3,"New Jersey","$196.90B","$21,197"
4,"Texas","$171.10B","$ 5,870"
5,"New York","$153.84B","$ 7,615"
6,"Massachusetts","$104.10B","$14,808"
7,"Connecticut","$ 86.30B","$23,934"
8,"Washington","$ 76.59B","$ 9,940"
9,"Pennsylvania","$ 58.78B","$ 4,520"
10,"Maryland","$ 52.04B","$ 8,424"
11,"Florida","$ 45.86B","$ 2,129"
12,"Kentucky","$ 38.10B","$ 8,455"
13,"Ohio","$ 35.66B","$ 3,022"
14,"Georgia","$ 31.17B","$ 2,910"
15,"Colorado","$ 28.09B","$ 4,865"
16,"Michigan","$ 24.95B","$ 2,476"
17,"Hawaii","$ 23.85B","$16,390"
18,"Louisiana","$ 21.98B","$ 4,719"
19,"Oregon","$ 19.67B","$ 4,642"
20,"North Carolina","$ 18.40B","$ 1,763"
21,"Wisconsin","$ 18.34B","$ 3,112"
22,"Virginia","$ 16.91B","$ 1,959"
23,"Missouri","$ 15.00B","$ 2,437"
24,"Delaware","$ 14.76B","$14,912"
25,"Minnesota","$ 13.79B","$ 2,417"
26,"Arizona","$ 12.69B","$ 1,775"
27,"Alabama","$ 12.42B","$ 2,472"
28,"New Mexico","$ 11.61B","$ 5,482"
29,"Indiana","$ 11.04B","$ 1,627"
30,"Mississippi","$  9.27B","$ 3,132"
31,"South Carolina","$  9.09B","$ 1,775"
32,"Arkansas","$  8.27B","$ 2,747"
33,"West Virginia","$  7.54B","$ 4,202"
34,"Kansas","$  6.60B","$ 2,248"
35,"Rhode Island","$  6.46B","$ 5,887"
36,"Nevada","$  6.36B","$ 2,047"
37,"Maine","$  6.31B","$ 4,631"
38,"Alaska","$  6.01B","$ 8,198"
39,"North Dakota","$  5.51B","$ 7,079"
40,"Vermont","$  5.22B","$ 8,113"
41,"Iowa","$  4.96B","$ 1,556"
42,"Oklahoma","$  4.66B","$ 1,178"
43,"Tennessee","$  4.53B","$   655"
44,"New Hampshire","$  4.16B","$ 3,021"
45,"Utah","$  3.01B","$   920"
46,"Montana","$  2.95B","$ 2,724"
47,"Wyoming","$  2.49B","$ 4,316"
48,"Idaho","$  2.41B","$ 1,311"
49,"South Dakota","$  0.86B","$   967"
50,"Nebraska","$  0.81B","$   412"
