"Rank","State","OPEB per Capita","Total OPEB"
1,"New Jersey","$ 8,067","$74.93B"
2,"Delaware","$ 7,888","$ 7.81B"
3,"Connecticut","$ 4,687","$16.90B"
4,"New York","$ 3,289","$66.43B"
5,"Hawaii","$ 3,275","$ 4.77B"
6,"Vermont","$ 2,346","$ 1.51B"
7,"California","$ 2,069","$81.81B"
8,"Maryland","$ 1,921","$11.87B"
9,"Texas","$ 1,816","$52.94B"
10,"Massachusetts","$ 1,805","$12.69B"
11,"Maine","$ 1,736","$ 2.37B"
12,"Illinois","$ 1,589","$20.37B"
13,"Pennsylvania","$ 1,330","$17.29B"
14,"New Hampshire","$ 1,177","$ 1.62B"
15,"Louisiana","$ 1,084","$ 5.05B"
16,"Wyoming","$   742","$ 0.43B"
17,"South Carolina","$   573","$ 2.93B"
18,"Washington","$   551","$ 4.25B"
19,"Kentucky","$   536","$ 2.42B"
20,"Michigan","$   522","$ 5.26B"
21,"Arkansas","$   510","$ 1.54B"
22,"North Carolina","$   455","$ 4.75B"
23,"New Mexico","$   432","$ 0.91B"
24,"Missouri","$   427","$ 2.63B"
25,"Georgia","$   378","$ 4.05B"
26,"Nevada","$   294","$ 0.91B"
27,"Florida","$   253","$ 5.44B"
28,"Colorado","$   244","$ 1.41B"
29,"Rhode Island","$   222","$ 0.24B"
30,"Alabama","$   192","$ 0.96B"
31,"Wisconsin","$   191","$ 1.12B"
32,"Tennessee","$   161","$ 1.12B"
33,"Iowa","$   133","$ 0.42B"
34,"Minnesota","$   128","$ 0.73B"
35,"Arizona","$   114","$ 0.82B"
36,"Virginia","$   113","$ 0.98B"
37,"North Dakota","$    77","$ 0.06B"
38,"Idaho","$    46","$ 0.08B"
39,"West Virginia","$    40","$ 0.07B"
40,"Mississippi","$    36","$ 0.11B"
41,"Ohio","$    31","$ 0.36B"
42,"Montana","$    28","$ 0.03B"
43,"Oklahoma","$    18","$ 0.07B"
44,"Kansas","$    14","$ 0.04B"
45,"Nebraska","$    14","$ 0.03B"
46,"Indiana","$    10","$ 0.07B"
47,"South Dakota","$     0","$ 0.00B"
48,"Utah","$    -5","$-0.02B"
49,"Oregon","$   -12","$-0.05B"
50,"Alaska","$-2,382","$-1.75B"
