"Rank","Name","State abb","Bonds, Loans, & Notes per Capita","Bonds, Loans, & Notes"
1,"City And County Of San Francisco","CA","$26,892","$23.50B"
2,"North Slope Borough","AK","$23,753","$ 0.26B"
3,"Washington","DC","$18,219","$12.56B"
4,"Denver County","CO","$13,833","$ 9.90B"
5,"Arlington County","VA","$ 7,908","$ 1.89B"
6,"Lancaster County","VA","$ 7,866","$ 0.09B"
7,"Baltimore","MD","$ 7,738","$ 4.53B"
8,"Nashville-Davidson County","TN","$ 7,677","$ 5.50B"
9,"Wyandotte County","KS","$ 7,517","$ 1.27B"
10,"Miami-Dade County","FL","$ 7,226","$19.52B"
11,"City And County Of Honolulu","HI","$ 7,034","$ 7.15B"
12,"Norfolk","VA","$ 6,980","$ 1.66B"
13,"Goochland County","VA","$ 6,484","$ 0.16B"
14,"Northampton County","VA","$ 6,394","$ 0.08B"
15,"Kodiak Island Borough","AK","$ 5,514","$ 0.07B"
16,"Howard County","MD","$ 5,396","$ 1.79B"
17,"Baltimore County","MD","$ 5,046","$ 4.31B"
18,"Plaquemines Parish","LA","$ 4,990","$ 0.12B"
19,"St Louis","MO","$ 4,978","$ 1.50B"
20,"King George County","VA","$ 4,843","$ 0.13B"
21,"Juneau City And Borough","AK","$ 4,793","$ 0.15B"
22,"Greensville County","VA","$ 4,690","$ 0.05B"
23,"Williamson County","TN","$ 4,669","$ 1.16B"
24,"Mecklenburg County","VA","$ 4,626","$ 0.14B"
25,"Anne Arundel County","MD","$ 4,578","$ 2.69B"
26,"City And County Of Broomfield","CO","$ 4,509","$ 0.33B"
27,"Southampton County","VA","$ 4,451","$ 0.08B"
28,"Isle Of Wight County","VA","$ 4,444","$ 0.17B"
29,"Halifax County","VA","$ 4,298","$ 0.15B"
30,"Philadelphia","PA","$ 4,264","$ 6.84B"
31,"Brunswick County","VA","$ 4,228","$ 0.07B"
32,"Fairfax County","VA","$ 4,073","$ 4.68B"
33,"Caroline County","VA","$ 4,034","$ 0.12B"
34,"Union County","NC","$ 4,032","$ 0.96B"
35,"Baton Rouge","LA","$ 4,016","$ 1.83B"
36,"Westmoreland County","VA","$ 3,924","$ 0.07B"
37,"New Kent County","VA","$ 3,920","$ 0.09B"
38,"Kanabec County","MN","$ 3,805","$ 0.06B"
39,"Waushara County","WI","$ 3,703","$ 0.09B"
40,"Montgomery County","MD","$ 3,554","$ 3.78B"
41,"Loudoun County","VA","$ 3,489","$ 1.47B"
42,"Ohio County","WV","$ 3,457","$ 0.15B"
43,"Queen Annes County","MD","$ 3,417","$ 0.17B"
44,"Stafford County","VA","$ 3,385","$ 0.53B"
45,"Brunswick County","NC","$ 3,326","$ 0.45B"
46,"Maui County","HI","$ 3,290","$ 0.54B"
47,"Powhatan County","VA","$ 3,282","$ 0.10B"
48,"Spotsylvania County","VA","$ 3,256","$ 0.46B"
49,"Prince Georges County","MD","$ 3,254","$ 3.15B"
50,"Henrico County","VA","$ 3,234","$ 1.08B"
