"Rank","Name","State abb","Debt per Capita","Total Debt"
1,"Dampe Community School","OH","$Inf","$0.00B"
2,"San Juan County School District No. 1","CO","$Inf","$0.00B"
3,"Hooker School District No. 23","OK","$Inf","$0.00B"
4,"Luther School District No. 1-3","OK","$Inf","$0.00B"
5,"Kellyville Independent School District No. 31","OK","$Inf","$0.01B"
6,"Silo Independent School District No. 1","OK","$Inf","$0.01B"
7,"School District Of The City Of Highland Park","MI","$Inf","$0.01B"
8,"Windover High School","MI","$Inf","$0.00B"
9,"Kiamichi Technology Center No. 7","OK","$Inf","$0.02B"
10,"Three Lakes Educational Cooperative","KS","$Inf","$0.00B"
11,"Unified School District No. 247","KS","$Inf","$0.01B"
12,"Muskingum Valley Educational Service Center","OH","$Inf","$0.02B"
13,"Lane Educational Service District","OR","$Inf","$0.04B"
14,"Warren County Educational Service Center","OH","$Inf","$0.04B"
15,"Board Of Cooperative Educational Services First Supervisory District Of Erie County","NY","$Inf","$0.11B"
16,"Prairie Lakes Area Education Agency","IA","$Inf","$0.01B"
17,"Aventura City Of Excellence School","FL","$Inf","$0.00B"
18,"Area Special Education Cooperative Council No. 997","MN","$Inf","$0.00B"
19,"Saint Charles R-Vi School District","MO","$Inf","$0.00B"
20,"Parnassus Preparatory School","MN","$Inf","$0.04B"
21,"Tri-County Interlocal County-Op School District No. K-001","OK","$Inf","$0.00B"
22,"Ohio Digital Learning School","OH","$Inf","$0.01B"
23,"Henderson-Knox-Mercer-Warren Regional Office Of Education No. 33","IL","$Inf","$0.00B"
24,"Lake Region Special Education District","ND","$Inf","$0.01B"
25,"Sheyenne Valley Special Education Unit","ND","$Inf","$0.01B"
26,"Grant County Educational Service District","OR","$Inf","$0.00B"
27,"County Of Winnebago School District No. 320","IL","$Inf","$0.01B"
28,"Perham Independent School District No. 549","MN","$Inf","$0.06B"
29,"Ringwood School District","NJ","$Inf","$0.01B"
30,"Madison Oneida Boces","NY","$Inf","$0.18B"
31,"Delaware-Chenango-Madison-Otsego Boces","NY","$Inf","$0.08B"
32,"Western Gateway Elementary School District No. E-026","OK","$Inf","$0.00B"
33,"Educational Service Unit No. 2","NE","$Inf","$0.00B"
34,"Scottsbluff Public Schools","NE","$Inf","$0.03B"
35,"Tonkawa School District No. I-87","OK","$Inf","$0.00B"
36,"Career Development System","IL","$Inf","$0.00B"
37,"South Central Kansas Special Education Cooperative","KS","$Inf","$0.01B"
38,"Educational Service Unit No. 7","NE","$Inf","$0.00B"
39,"Cuyahoga Valley Career Center","OH","$Inf","$0.02B"
40,"Gallia-Vinton Educational Service Center","OH","$Inf","$0.01B"
41,"Two Rivers Supervisory Union","VT","$Inf","$0.00B"
42,"Tri-County Special Education Joint Agreement","IL","$Inf","$0.00B"
43,"Central Rivers Area Education Agency","IA","$Inf","$0.03B"
44,"Summit Educational Service Center","OH","$Inf","$0.03B"
45,"Perry Independent School District No. 1","OK","$Inf","$0.00B"
46,"North Central Educational Service District No. 171","WA","$Inf","$0.01B"
47,"Lagrange Area Department Of Special Education","IL","$Inf","$0.00B"
48,"Will County Regional Office Of Education No. 56","IL","$Inf","$0.00B"
49,"Reno County Education Cooperative No. 610","KS","$Inf","$0.00B"
50,"Boces First Supervisory District Of Monroe County","NY","$Inf","$0.23B"
