"Rank","Name","State abb","Total Long Term Debt","Long Term Debt per Capita"
1,"Los Angeles County","CA","$51.77B","$ 5,170"
2,"City And County Of San Francisco","CA","$31.99B","$36,602"
3,"Miami-Dade County","FL","$27.07B","$10,020"
4,"Cook County","IL","$18.34B","$ 3,476"
5,"Philadelphia","PA","$16.01B","$ 9,985"
6,"District Of Columbia","DC","$15.89B","$23,046"
7,"Denver County","CO","$12.57B","$17,563"
8,"Nassau County","NY","$12.28B","$ 8,797"
9,"Santa Clara County","CA","$10.80B","$ 5,580"
10,"City And County Of Honolulu","HI","$10.80B","$10,622"
11,"Clark County","NV","$ 9.94B","$ 4,386"
12,"Harris County","TX","$ 9.13B","$ 1,929"
13,"Suffolk County","NY","$ 8.76B","$ 5,742"
14,"Baltimore County","MD","$ 8.13B","$ 9,509"
15,"Baltimore","MD","$ 7.98B","$13,623"
16,"Nashville-Davidson County","TN","$ 7.34B","$10,251"
17,"Broward County","FL","$ 7.25B","$ 3,729"
18,"Jacksonville","FL","$ 7.15B","$ 7,185"
19,"Fairfax County","VA","$ 7.14B","$ 6,208"
20,"Prince Georges County","MD","$ 7.12B","$ 7,366"
21,"San Diego County","CA","$ 6.94B","$ 2,105"
22,"Riverside County","CA","$ 6.69B","$ 2,768"
23,"Orange County","CA","$ 6.16B","$ 1,933"
24,"King County","WA","$ 6.13B","$ 2,702"
25,"Montgomery County","MD","$ 4.99B","$ 4,695"
26,"Westchester County","NY","$ 4.98B","$ 4,959"
27,"Sacramento County","CA","$ 4.58B","$ 2,891"
28,"Anne Arundel County","MD","$ 4.34B","$ 7,382"
29,"Alameda County","CA","$ 3.86B","$ 2,296"
30,"Baton Rouge","LA","$ 3.60B","$ 7,881"
31,"Palm Beach County","FL","$ 3.53B","$ 2,368"
32,"Wake County","NC","$ 3.48B","$ 3,084"
33,"Bergen County","NJ","$ 3.13B","$ 3,273"
34,"San Bernardino County","CA","$ 3.03B","$ 1,388"
35,"Bexar County","TX","$ 3.00B","$ 1,493"
36,"Allegheny County","PA","$ 2.95B","$ 2,362"
37,"Fulton County","GA","$ 2.91B","$ 2,724"
38,"Contra Costa County","CA","$ 2.87B","$ 2,463"
39,"Jefferson County","AL","$ 2.87B","$ 4,257"
40,"Hennepin County","MN","$ 2.81B","$ 2,196"
41,"Passaic County","NJ","$ 2.80B","$ 5,325"
42,"St Louis","MO","$ 2.77B","$ 9,197"
43,"Hillsborough County","FL","$ 2.74B","$ 1,878"
44,"Dekalb County","GA","$ 2.68B","$ 3,509"
45,"Essex County","NJ","$ 2.62B","$ 3,037"
46,"Orange County","FL","$ 2.59B","$ 1,813"
47,"Mecklenburg County","NC","$ 2.56B","$ 2,292"
48,"Howard County","MD","$ 2.46B","$ 7,411"
49,"Kern County","CA","$ 2.43B","$ 2,674"
50,"Louisville/Jefferson County Metro Government","KY","$ 2.42B","$ 3,085"
