"Rank","Name","State abb","Long Term Debt per Capita","Total Long Term Debt"
1,"Skagway Municipality","AK","$76,311","$ 0.09B"
2,"City And County Of San Francisco","CA","$36,602","$31.99B"
3,"North Slope Borough","AK","$35,373","$ 0.39B"
4,"District Of Columbia","DC","$23,046","$15.89B"
5,"Storey County","NV","$22,668","$ 0.09B"
6,"Sitka City And Borough","AK","$21,984","$ 0.19B"
7,"Alpine County","CA","$19,646","$ 0.02B"
8,"Denver County","CO","$17,563","$12.57B"
9,"Baltimore","MD","$13,623","$ 7.98B"
10,"Mariposa County","CA","$12,429","$ 0.21B"
11,"Eureka County","NV","$11,780","$ 0.02B"
12,"Los Alamos County","NM","$11,193","$ 0.22B"
13,"Carter County","MT","$10,821","$ 0.02B"
14,"Esmeralda County","NV","$10,715","$ 0.01B"
15,"City And County Of Honolulu","HI","$10,622","$10.80B"
16,"Cape May County","NJ","$10,579","$ 1.01B"
17,"Sierra County","CA","$10,424","$ 0.03B"
18,"Inyo County","CA","$10,402","$ 0.20B"
19,"Nashville-Davidson County","TN","$10,251","$ 7.34B"
20,"Miami-Dade County","FL","$10,020","$27.07B"
21,"Philadelphia","PA","$ 9,985","$16.01B"
22,"Wyandotte County","KS","$ 9,735","$ 1.65B"
23,"Mora County","NM","$ 9,701","$ 0.04B"
24,"Baltimore County","MD","$ 9,509","$ 8.13B"
25,"Mono County","CA","$ 9,204","$ 0.12B"
26,"St Louis","MO","$ 9,197","$ 2.77B"
27,"Juneau City And Borough","AK","$ 8,994","$ 0.29B"
28,"Nassau County","NY","$ 8,797","$12.28B"
29,"Mineral County","NV","$ 8,738","$ 0.04B"
30,"Lake And Peninsula Borough","AK","$ 8,615","$ 0.01B"
31,"Norfolk","VA","$ 8,498","$ 2.02B"
32,"Smith County","KS","$ 8,318","$ 0.03B"
33,"Dare County","NC","$ 8,242","$ 0.30B"
34,"Salem County","NJ","$ 8,144","$ 0.53B"
35,"Plaquemines Parish","LA","$ 8,049","$ 0.19B"
36,"Maui County","HI","$ 8,047","$ 1.33B"
37,"Lancaster County","VA","$ 7,921","$ 0.09B"
38,"Baton Rouge","LA","$ 7,881","$ 3.60B"
39,"Hawaii County","HI","$ 7,427","$ 1.49B"
40,"Howard County","MD","$ 7,411","$ 2.46B"
41,"Goochland County","VA","$ 7,385","$ 0.18B"
42,"Anne Arundel County","MD","$ 7,382","$ 4.34B"
43,"Prince Georges County","MD","$ 7,366","$ 7.12B"
44,"Trinity County","CA","$ 7,361","$ 0.12B"
45,"Arlington County","VA","$ 7,316","$ 1.75B"
46,"Glenn County","CA","$ 7,192","$ 0.21B"
47,"Jacksonville","FL","$ 7,185","$ 7.15B"
48,"Kauai County","HI","$ 7,168","$ 0.53B"
49,"Petersburg Borough","AK","$ 6,774","$ 0.02B"
50,"Sullivan County","NY","$ 6,656","$ 0.52B"
