"Rank","Name","State abb","Total Pension Debt","Pension Debt per Capita"
1,"Los Angeles County","CA","$13.16B","$1,314"
2,"Cook County","IL","$12.83B","$2,432"
3,"Santa Clara County","CA","$ 5.62B","$2,901"
4,"San Diego County","CA","$ 5.31B","$1,611"
5,"Philadelphia","PA","$ 4.80B","$2,996"
6,"Miami-Dade County","FL","$ 4.60B","$1,702"
7,"Orange County","CA","$ 4.47B","$1,403"
8,"Jacksonville","FL","$ 4.10B","$4,122"
9,"Clark County","NV","$ 3.86B","$1,703"
10,"Riverside County","CA","$ 3.46B","$1,432"
11,"City And County Of San Francisco","CA","$ 3.05B","$3,490"
12,"Fairfax County","VA","$ 2.43B","$2,113"
13,"City And County Of Honolulu","HI","$ 2.41B","$2,369"
14,"Baltimore County","MD","$ 2.13B","$2,491"
15,"Prince Georges County","MD","$ 2.08B","$2,153"
16,"San Bernardino County","CA","$ 1.94B","$  889"
17,"Denver County","CO","$ 1.91B","$2,675"
18,"Allegheny County","PA","$ 1.88B","$1,507"
19,"Maricopa County","AZ","$ 1.88B","$  425"
20,"Baltimore","MD","$ 1.84B","$3,138"
21,"Kern County","CA","$ 1.77B","$1,950"
22,"Palm Beach County","FL","$ 1.77B","$1,183"
23,"Broward County","FL","$ 1.74B","$  894"
24,"Alameda County","CA","$ 1.72B","$1,025"
25,"San Joaquin County","CA","$ 1.59B","$2,037"
26,"Sacramento County","CA","$ 1.57B","$  988"
27,"Contra Costa County","CA","$ 1.45B","$1,241"
28,"Orange County","FL","$ 1.25B","$  874"
29,"Hillsborough County","FL","$ 1.21B","$  830"
30,"Louisville/Jefferson County Metro Government","KY","$ 1.20B","$1,532"
31,"Fresno County","CA","$ 1.15B","$1,138"
32,"Anne Arundel County","MD","$ 1.09B","$1,860"
33,"New Orleans","LA","$ 1.05B","$2,729"
34,"Dekalb County","GA","$ 0.98B","$1,285"
35,"Suffolk County","NY","$ 0.95B","$  621"
36,"San Luis Obispo County","CA","$ 0.93B","$3,289"
37,"Monterey County","CA","$ 0.88B","$2,008"
38,"Cuyahoga County","OH","$ 0.84B","$  667"
39,"Nassau County","NY","$ 0.83B","$  592"
40,"Hennepin County","MN","$ 0.82B","$  642"
41,"Baton Rouge","LA","$ 0.80B","$1,750"
42,"Placer County","CA","$ 0.77B","$1,899"
43,"Hamilton County","OH","$ 0.76B","$  920"
44,"Cobb County","GA","$ 0.75B","$  983"
45,"Franklin County","OH","$ 0.75B","$  568"
46,"St Louis","MO","$ 0.75B","$2,483"
47,"Harris County","TX","$ 0.70B","$  147"
48,"San Mateo County","CA","$ 0.69B","$  907"
49,"Santa Barbara County","CA","$ 0.69B","$1,542"
50,"Shelby County","TN","$ 0.68B","$  729"
