"Rank","Name","State abb","Bonds, Loans, & Notes","Bonds, Loans, & Notes per Capita"
1,"City And County Of San Francisco","CA","$23.50B","$26,892"
2,"Miami-Dade County","FL","$19.52B","$ 7,226"
3,"Washington","DC","$12.56B","$18,219"
4,"Denver County","CO","$ 9.90B","$13,833"
5,"City And County Of Honolulu","HI","$ 7.15B","$ 7,034"
6,"Philadelphia","PA","$ 6.84B","$ 4,264"
7,"Harris County","TX","$ 5.78B","$ 1,222"
8,"Nashville-Davidson County","TN","$ 5.50B","$ 7,677"
9,"Broward County","FL","$ 5.19B","$ 2,670"
10,"King County","WA","$ 5.07B","$ 2,233"
11,"Clark County","NV","$ 4.79B","$ 2,113"
12,"Fairfax County","VA","$ 4.68B","$ 4,073"
13,"Baltimore","MD","$ 4.53B","$ 7,738"
14,"Baltimore County","MD","$ 4.31B","$ 5,046"
15,"Nassau County","NY","$ 4.05B","$ 2,903"
16,"Montgomery County","MD","$ 3.78B","$ 3,554"
17,"Los Angeles County","CA","$ 3.47B","$   347"
18,"Prince Georges County","MD","$ 3.15B","$ 3,254"
19,"Santa Clara County","CA","$ 2.99B","$ 1,543"
20,"Wake County","NC","$ 2.95B","$ 2,612"
21,"Anne Arundel County","MD","$ 2.69B","$ 4,578"
22,"Cook County","IL","$ 2.68B","$   508"
23,"Bexar County","TX","$ 2.65B","$ 1,318"
24,"Jacksonville","FL","$ 2.38B","$ 2,388"
25,"Sacramento County","CA","$ 2.11B","$ 1,328"
26,"Arlington County","VA","$ 1.89B","$ 7,908"
27,"Mecklenburg County","NC","$ 1.85B","$ 1,660"
28,"Baton Rouge","LA","$ 1.83B","$ 4,016"
29,"Howard County","MD","$ 1.79B","$ 5,396"
30,"Westchester County","NY","$ 1.75B","$ 1,741"
31,"Hennepin County","MN","$ 1.72B","$ 1,345"
32,"Riverside County","CA","$ 1.70B","$   704"
33,"Norfolk","VA","$ 1.66B","$ 6,980"
34,"Suffolk County","NY","$ 1.63B","$ 1,068"
35,"Alameda County","CA","$ 1.53B","$   907"
36,"St Louis","MO","$ 1.50B","$ 4,978"
37,"Loudoun County","VA","$ 1.47B","$ 3,489"
38,"Hillsborough County","FL","$ 1.41B","$   969"
39,"Wyandotte County","KS","$ 1.27B","$ 7,517"
40,"Dekalb County","GA","$ 1.27B","$ 1,659"
41,"Williamson County","TX","$ 1.26B","$ 2,061"
42,"Virginia Beach","VA","$ 1.25B","$ 2,722"
43,"Williamson County","TN","$ 1.16B","$ 4,669"
44,"Hamilton County","OH","$ 1.13B","$ 1,366"
45,"Orange County","FL","$ 1.11B","$   780"
46,"Henrico County","VA","$ 1.08B","$ 3,234"
47,"Prince William County","VA","$ 1.07B","$ 2,223"
48,"San Diego County","CA","$ 1.04B","$   316"
49,"Lee County","FL","$ 1.00B","$ 1,320"
50,"Union County","NC","$ 0.96B","$ 4,032"
