"Rank","Name","State abb","Total Debt","Debt per Capita"
1,"New York","NY","$315.86B","$35,877"
2,"Chicago","IL","$ 77.01B","$28,042"
3,"Los Angeles","CA","$ 58.79B","$15,078"
4,"City And County Of San Francisco","CA","$ 37.46B","$42,866"
5,"Houston","TX","$ 21.58B","$ 9,378"
6,"Philadelphia","PA","$ 20.07B","$12,517"
7,"District Of Columbia","DC","$ 19.83B","$28,761"
8,"Austin","TX","$ 17.12B","$17,803"
9,"Dallas","TX","$ 15.38B","$11,790"
10,"Denver County","CO","$ 14.27B","$19,944"
11,"Phoenix","AZ","$ 14.13B","$ 8,787"
12,"City And County Of Honolulu","HI","$ 12.01B","$11,816"
13,"Atlanta","GA","$ 11.32B","$22,693"
14,"Seattle","WA","$ 10.20B","$13,841"
15,"Baltimore","MD","$  9.70B","$16,558"
16,"Nashville-Davidson County","TN","$  8.79B","$12,284"
17,"Portland","OR","$  8.78B","$13,454"
18,"Columbus","OH","$  8.09B","$ 8,927"
19,"San Diego","CA","$  8.06B","$ 5,810"
20,"Charlotte","NC","$  7.94B","$ 9,081"
21,"Boston","MA","$  7.79B","$11,525"
22,"Jacksonville","FL","$  7.76B","$ 8,174"
23,"San Jose","CA","$  7.67B","$ 7,565"
24,"San Antonio","TX","$  7.29B","$ 5,080"
25,"Fort Worth","TX","$  6.65B","$ 7,241"
26,"Kansas City","MO","$  6.43B","$12,651"
27,"Detroit","MI","$  6.07B","$ 9,503"
28,"Memphis","TN","$  5.16B","$ 8,163"
29,"Long Beach","CA","$  5.11B","$10,943"
30,"Milwaukee","WI","$  4.65B","$ 8,059"
31,"Salt Lake City","UT","$  4.63B","$23,176"
32,"Colorado Springs","CO","$  4.27B","$ 8,919"
33,"Yonkers","NY","$  4.22B","$19,963"
34,"Mesa","AZ","$  4.09B","$ 8,101"
35,"Baton Rouge","LA","$  3.96B","$17,432"
36,"Oakland","CA","$  3.91B","$ 8,870"
37,"Cleveland","OH","$  3.87B","$10,383"
38,"Indianapolis","IN","$  3.71B","$ 4,133"
39,"St Louis","MO","$  3.70B","$12,254"
40,"Cincinnati","OH","$  3.52B","$11,376"
41,"Omaha","NE","$  3.47B","$ 7,050"
42,"Tucson","AZ","$  3.41B","$ 6,287"
43,"Providence","RI","$  3.38B","$17,725"
44,"Anaheim","CA","$  3.38B","$ 9,749"
45,"Sacramento","CA","$  3.33B","$ 6,339"
46,"Miami","FL","$  3.30B","$ 7,473"
47,"Jersey City","NJ","$  3.22B","$10,987"
48,"El Paso","TX","$  3.13B","$ 4,613"
49,"Worcester","MA","$  3.01B","$14,572"
50,"New Haven","CT","$  2.82B","$21,019"
