"School District Name","State","School District Total Debt","School District Debt per Capita "
"Chicago Board Of Education","Illinois","$30.1B","$93,669"
"Los Angeles Unified School District","California","$29.7B","$69,512"
"Clark County School District","Nevada","$ 8.5B","$27,335"
"School District Of Philadelphia","Pennsylvania","$ 8.2B","$69,089"
"San Diego Unified School District","California","$ 7.9B","$83,762"
"The School Board Of Miami-Dade County","Florida","$ 6.4B","$19,275"
"Dallas Independent School District","Texas","$ 5.8B","$41,332"
"Gwinnett County Board Of Education","Georgia","$ 5.8B","$31,918"
"Cypress-Fairbanks Independent School District","Texas","$ 4.9B","$41,161"
"The School Board Of Broward County","Florida","$ 4.8B","$18,687"
"Houston Independent School District","Texas","$ 4.2B","$21,942"
"Fairfax County Public Schools","Virginia","$ 4.1B","$22,777"
"New York City Geographic District #31","New York","$ 4.1B","$67,577"
"City And County Of Denver School District No. 1","Colorado","$ 3.9B","$44,791"
"Austin Independent School District","Texas","$ 3.7B","$50,700"
"New York City Geographic District # 2","New York","$ 3.7B","$67,577"
"The School District Of Palm Beach County","Florida","$ 3.5B","$18,772"
"New York City Geographic District #24","New York","$ 3.5B","$67,577"
"Long Beach Unified School District","California","$ 3.4B","$51,686"
"Lamar Consolidated Independent School District","Texas","$ 3.4B","$79,725"
"The Board Of Education Of Montgomery County","Maryland","$ 3.4B","$20,921"
"Prince George’s County Public Schools","Maryland","$ 3.3B","$25,422"
"Northside Independent School District (Bexar County)","Texas","$ 3.2B","$31,361"
"Katy Independent School District","Texas","$ 3.2B","$34,189"
"New York City Geographic District #20","New York","$ 3.2B","$67,577"
"Frisco Independent School District","Texas","$ 3.1B","$45,882"
"New York City Geographic District #10","New York","$ 3.0B","$67,577"
"San Francisco Unified School District","California","$ 2.9B","$58,603"
"Cobb County School District","Georgia","$ 2.8B","$26,257"
"New York City Geographic District #27","New York","$ 2.8B","$67,577"
"Fresno Unified School District","California","$ 2.7B","$39,317"
"Multnomah County School District No. 1j","Oregon","$ 2.7B","$61,138"
"Board Of Education City Of Buffalo","New York","$ 2.7B","$90,556"
"Wake County Board Of Education","North Carolina","$ 2.7B","$16,772"
"Orange County District School Board","Florida","$ 2.6B","$12,561"
"Jefferson County School District","Colorado","$ 2.5B","$33,561"
"New York City Geographic District #28","New York","$ 2.5B","$67,577"
"Fort Worth Independent School District","Texas","$ 2.5B","$34,463"
"Albuquerque Municipal School District No. 12","New Mexico","$ 2.5B","$31,272"
"Charlotte-Mecklenburg Board Of Education","North Carolina","$ 2.5B","$17,139"
"Dekalb County Board Of Education","Georgia","$ 2.5B","$26,748"
"New York City Geographic District #30","New York","$ 2.4B","$67,577"
"The School District Of Greenville County","South Carolina","$ 2.4B","$31,104"
"Hillsborough County Public Schools","Florida","$ 2.4B","$10,695"
"Fort Bend Independent School District","Texas","$ 2.4B","$29,690"
"New York City Geographic District #25","New York","$ 2.3B","$67,577"
"Washoe County School District","Nevada","$ 2.3B","$36,374"
"New York City Geographic District #21","New York","$ 2.3B","$67,577"
"Fulton County Board Of Education","Georgia","$ 2.3B","$25,352"
"New York City Geographic District #11","New York","$ 2.2B","$67,577"
