"Rank","Name","State abb","Long Term Debt per Capita","Total Long Term Debt"
1,"Vernon","CA","$2,413,757","$ 0.53B"
2,"Industry","CA","$1,266,604","$ 0.33B"
3,"Stanley","ND","$  834,691","$ 1.97B"
4,"Paxton","NE","$  455,508","$ 0.23B"
5,"Edgeley","ND","$  282,307","$ 0.16B"
6,"Bedford Park","IL","$  215,498","$ 0.13B"
7,"Boys Town","NE","$  214,437","$ 0.09B"
8,"Indian Creek","FL","$  210,793","$ 0.02B"
9,"Pointe Aux Barques Township (Huron County)","MI","$  206,613","$ 0.00B"
10,"Mccook","IL","$  201,308","$ 0.05B"
11,"Hebron","ND","$  175,198","$ 0.14B"
12,"Mankato","KS","$  140,045","$ 0.12B"
13,"Moore Haven","FL","$  133,175","$ 0.21B"
14,"Avalon","NJ","$  122,334","$ 0.15B"
15,"Rosemont","IL","$  113,907","$ 0.45B"
16,"Sea Isle City","NJ","$   94,389","$ 0.20B"
17,"Stone Harbor","NJ","$   93,966","$ 0.07B"
18,"Foyil","OK","$   90,011","$ 0.04B"
19,"Ship Bottom","NJ","$   86,580","$ 0.09B"
20,"Long Beach Township","NJ","$   78,183","$ 0.25B"
21,"Boswell","OK","$   72,411","$ 0.04B"
22,"Waukesha","WI","$   71,405","$ 0.60B"
23,"Cape May","NJ","$   67,166","$ 0.19B"
24,"Ocean Beach","NY","$   63,168","$ 0.01B"
25,"Horace","ND","$   59,371","$ 0.19B"
26,"Rehoboth Beach","DE","$   59,227","$ 0.07B"
27,"Brian Head Town","UT","$   58,800","$ 0.01B"
28,"Flasher","ND","$   54,876","$ 0.01B"
29,"Jupiter Island","FL","$   54,432","$ 0.04B"
30,"Mantoloking","NJ","$   53,740","$ 0.02B"
31,"Seaside Park","NJ","$   51,199","$ 0.07B"
32,"Mondovi","WI","$   48,798","$ 0.02B"
33,"Sun Prairie","WI","$   45,179","$ 0.11B"
34,"Longport","NJ","$   44,694","$ 0.04B"
35,"Ashland","WI","$   44,525","$ 0.03B"
36,"Janesville","WI","$   41,402","$ 0.15B"
37,"Lavallette","NJ","$   40,495","$ 0.07B"
38,"Mountain Village","CO","$   39,052","$ 0.05B"
39,"North Wildwood","NJ","$   38,290","$ 0.14B"
40,"Colcord","OK","$   37,368","$ 0.03B"
41,"Bluejacket","OK","$   37,157","$ 0.01B"
42,"City And County Of San Francisco","CA","$   36,602","$31.99B"
43,"Palm Beach","FL","$   35,526","$ 0.33B"
44,"Reedsburg","WI","$   35,367","$ 0.04B"
45,"Fond Du Lac","WI","$   34,591","$ 0.13B"
46,"Waupun","WI","$   34,123","$ 0.05B"
47,"Marion County","IN","$   33,718","$ 0.95B"
48,"Golden Beach","FL","$   33,184","$ 0.03B"
49,"Whitewater","WI","$   33,140","$ 0.05B"
50,"Medley","FL","$   33,063","$ 0.03B"
