"School District Name","State","School District Gov Long Term Debt","School District Gov Long Term Debt per Capita "
"Chicago Board Of Education","Illinois","$28.6B","$88,944"
"Los Angeles Unified School District","California","$26.6B","$62,276"
"Clark County School District","Nevada","$ 7.6B","$24,662"
"School District Of Philadelphia","Pennsylvania","$ 7.1B","$59,944"
"San Diego Unified School District","California","$ 7.1B","$75,190"
"The School Board Of Miami-Dade County","Florida","$ 5.8B","$17,423"
"Gwinnett County Board Of Education","Georgia","$ 5.4B","$29,690"
"Dallas Independent School District","Texas","$ 5.0B","$35,191"
"Cypress-Fairbanks Independent School District","Texas","$ 4.4B","$37,360"
"The School Board Of Broward County","Florida","$ 4.1B","$15,994"
"Fairfax County Public Schools","Virginia","$ 3.8B","$20,891"
"New York City Geographic District #31","New York","$ 3.6B","$59,658"
"City And County Of Denver School District No. 1","Colorado","$ 3.6B","$40,696"
"New York City Geographic District # 2","New York","$ 3.3B","$59,658"
"Lamar Consolidated Independent School District","Texas","$ 3.2B","$76,276"
"Houston Independent School District","Texas","$ 3.1B","$16,401"
"The School District Of Palm Beach County","Florida","$ 3.1B","$16,275"
"The Board Of Education Of Montgomery County","Maryland","$ 3.1B","$19,142"
"New York City Geographic District #24","New York","$ 3.0B","$59,658"
"Long Beach Unified School District","California","$ 3.0B","$46,465"
"Prince George’s County Public Schools","Maryland","$ 3.0B","$22,778"
"Northside Independent School District (Bexar County)","Texas","$ 3.0B","$29,018"
"Katy Independent School District","Texas","$ 2.9B","$31,005"
"Frisco Independent School District","Texas","$ 2.8B","$42,296"
"New York City Geographic District #20","New York","$ 2.8B","$59,658"
"New York City Geographic District #10","New York","$ 2.7B","$59,658"
"San Francisco Unified School District","California","$ 2.6B","$52,892"
"Austin Independent School District","Texas","$ 2.6B","$34,960"
"Wake County Board Of Education","North Carolina","$ 2.5B","$15,556"
"Cobb County School District","Georgia","$ 2.5B","$23,161"
"New York City Geographic District #27","New York","$ 2.5B","$59,658"
"Fresno Unified School District","California","$ 2.4B","$34,811"
"Board Of Education City Of Buffalo","New York","$ 2.4B","$78,775"
"Charlotte-Mecklenburg Board Of Education","North Carolina","$ 2.3B","$16,161"
"Orange County District School Board","Florida","$ 2.3B","$11,215"
"Jefferson County School District","Colorado","$ 2.3B","$30,362"
"Albuquerque Municipal School District No. 12","New Mexico","$ 2.2B","$28,158"
"Multnomah County School District No. 1j","Oregon","$ 2.2B","$49,966"
"The School District Of Greenville County","South Carolina","$ 2.2B","$28,484"
"New York City Geographic District #28","New York","$ 2.2B","$59,658"
"Dekalb County Board Of Education","Georgia","$ 2.2B","$23,985"
"Fort Worth Independent School District","Texas","$ 2.2B","$29,672"
"New York City Geographic District #30","New York","$ 2.1B","$59,658"
"Washoe County School District","Nevada","$ 2.1B","$33,322"
"Fort Bend Independent School District","Texas","$ 2.1B","$26,498"
"Hillsborough County Public Schools","Florida","$ 2.1B","$ 9,375"
"Fulton County Board Of Education","Georgia","$ 2.1B","$23,078"
"New York City Geographic District #25","New York","$ 2.1B","$59,658"
"New York City Geographic District #21","New York","$ 2.1B","$59,658"
"Douglas County School District No. 0001","Nebraska","$ 2.0B","$38,602"
