"Rank","Name","State abb","Total Pension Debt","Pension Debt per Capita"
1,"New York","NY","$40.16B","$  4,561"
2,"Chicago","IL","$37.20B","$ 13,547"
3,"Los Angeles","CA","$ 8.33B","$  2,137"
4,"Phoenix","AZ","$ 5.07B","$  3,151"
5,"Philadelphia","PA","$ 4.80B","$  2,996"
6,"Portland","OR","$ 4.53B","$  6,950"
7,"Jacksonville","FL","$ 4.10B","$  4,322"
8,"Austin","TX","$ 3.96B","$  4,116"
9,"San Jose","CA","$ 3.20B","$  3,162"
10,"City And County Of San Francisco","CA","$ 3.05B","$  3,490"
11,"San Diego","CA","$ 2.68B","$  1,933"
12,"Fort Worth","TX","$ 2.54B","$  2,759"
13,"City And County Of Honolulu","HI","$ 2.41B","$  2,369"
14,"Houston","TX","$ 2.34B","$  1,018"
15,"Columbus","OH","$ 2.05B","$  2,260"
16,"Cincinnati","OH","$ 1.91B","$  6,183"
17,"Denver County","CO","$ 1.91B","$  2,675"
18,"Boston","MA","$ 1.87B","$  2,774"
19,"Oakland","CA","$ 1.86B","$  4,211"
20,"Baltimore","MD","$ 1.84B","$  3,138"
21,"San Antonio","TX","$ 1.60B","$  1,112"
22,"Detroit","MI","$ 1.57B","$  2,453"
23,"Tucson","AZ","$ 1.55B","$  2,850"
24,"Providence","RI","$ 1.54B","$  8,062"
25,"Atlanta","GA","$ 1.52B","$  3,040"
26,"Miami","FL","$ 1.47B","$  3,313"
27,"Long Beach","CA","$ 1.40B","$  2,991"
28,"Seattle","WA","$ 1.39B","$  1,885"
29,"Sacramento","CA","$ 1.30B","$  2,482"
30,"Milwaukee","WI","$ 1.28B","$  2,222"
31,"Dallas","TX","$ 1.26B","$    963"
32,"Louisville/Jefferson County Metro Government","KY","$ 1.20B","$  1,532"
33,"Cleveland","OH","$ 1.16B","$  3,113"
34,"Las Vegas","NV","$ 1.09B","$  1,695"
35,"Stanley","ND","$ 1.08B","$460,457"
36,"Charlotte","NC","$ 1.07B","$  1,227"
37,"New Orleans","LA","$ 1.05B","$  2,729"
38,"Omaha","NE","$ 1.02B","$  2,083"
39,"New Haven","CT","$ 1.02B","$  7,617"
40,"Mesa","AZ","$ 1.00B","$  1,987"
41,"Kansas City","MO","$ 0.97B","$  1,908"
42,"Anaheim","CA","$ 0.92B","$  2,641"
43,"Albuquerque","NM","$ 0.83B","$  1,474"
44,"Pittsburgh","PA","$ 0.82B","$  2,697"
45,"Springfield","MA","$ 0.81B","$  5,205"
46,"Indianapolis","IN","$ 0.81B","$    904"
47,"Baton Rouge","LA","$ 0.80B","$  3,523"
48,"St Louis","MO","$ 0.75B","$  2,483"
49,"Hollywood","FL","$ 0.72B","$  4,717"
50,"Miami Beach","FL","$ 0.71B","$  8,618"
