"Rank","Name","State abb","Pension Debt per Capita","Total Pension Debt"
1,"Chicago","IL","$13,547","$37.20B"
2,"Beverly Hills","CA","$ 8,877","$ 0.29B"
3,"Miami Beach","FL","$ 8,618","$ 0.71B"
4,"Riverdale","IL","$ 8,174","$ 0.09B"
5,"Forest Park","IL","$ 8,105","$ 0.12B"
6,"Providence","RI","$ 8,062","$ 1.54B"
7,"New Haven","CT","$ 7,617","$ 1.02B"
8,"Santa Fe Springs","CA","$ 7,575","$ 0.15B"
9,"Palo Alto","CA","$ 7,544","$ 0.52B"
10,"Culver City","CA","$ 7,184","$ 0.29B"
11,"Portland","OR","$ 6,950","$ 4.53B"
12,"Weston","MA","$ 6,226","$ 0.07B"
13,"Cincinnati","OH","$ 6,183","$ 1.91B"
14,"Hamden","CT","$ 6,096","$ 0.37B"
15,"Warwick","RI","$ 6,069","$ 0.50B"
16,"West Warwick","RI","$ 6,067","$ 0.19B"
17,"Monterey","CA","$ 5,963","$ 0.18B"
18,"Nantucket","MA","$ 5,908","$ 0.08B"
19,"East Hartford","CT","$ 5,798","$ 0.30B"
20,"Johnston","RI","$ 5,744","$ 0.17B"
21,"Berkeley","CA","$ 5,457","$ 0.68B"
22,"Narragansett","RI","$ 5,448","$ 0.08B"
23,"Burlington","MA","$ 5,442","$ 0.14B"
24,"Santa Monica","CA","$ 5,336","$ 0.50B"
25,"Springfield","MA","$ 5,205","$ 0.81B"
26,"Santa Clara","CA","$ 5,175","$ 0.66B"
27,"Marion County","IN","$ 5,156","$ 0.15B"
28,"Portsmouth","NH","$ 5,144","$ 0.11B"
29,"Wooster","OH","$ 5,117","$ 0.14B"
30,"Flint","MI","$ 5,063","$ 0.41B"
31,"Chicago Heights","IL","$ 5,024","$ 0.14B"
32,"Melrose Park","IL","$ 4,972","$ 0.12B"
33,"Hartford","CT","$ 4,793","$ 0.58B"
34,"Newport","RI","$ 4,760","$ 0.12B"
35,"Hollywood","FL","$ 4,717","$ 0.72B"
36,"Saginaw","MI","$ 4,605","$ 0.20B"
37,"New York","NY","$ 4,561","$40.16B"
38,"Emeryville","CA","$ 4,528","$ 0.06B"
39,"Granite City","IL","$ 4,524","$ 0.12B"
40,"Santa Barbara","CA","$ 4,515","$ 0.40B"
41,"South Lake Tahoe","CA","$ 4,507","$ 0.10B"
42,"Calumet City","IL","$ 4,439","$ 0.16B"
43,"Atlantic City","NJ","$ 4,433","$ 0.17B"
44,"Juneau City And Borough","AK","$ 4,386","$ 0.14B"
45,"Springfield","IL","$ 4,375","$ 0.50B"
46,"Palm Springs","CA","$ 4,368","$ 0.19B"
47,"Jacksonville","FL","$ 4,322","$ 4.10B"
48,"Coral Gables","FL","$ 4,310","$ 0.21B"
49,"Wayland","MA","$ 4,306","$ 0.06B"
50,"Oakland","CA","$ 4,211","$ 1.86B"
