"Rank","Name","State abb","Total OPEB","OPEB per Capita"
1,"New York","NY","$95.02B","$10,792"
2,"City And County Of San Francisco","CA","$ 3.73B","$ 4,274"
3,"Austin","TX","$ 3.35B","$ 3,488"
4,"Yonkers","NY","$ 2.55B","$12,053"
5,"Boston","MA","$ 2.34B","$ 3,469"
6,"Nashville-Davidson County","TN","$ 2.24B","$ 3,126"
7,"Chicago","IL","$ 2.02B","$   734"
8,"Philadelphia","PA","$ 1.79B","$ 1,113"
9,"Houston","TX","$ 1.77B","$   771"
10,"City And County Of Honolulu","HI","$ 1.25B","$ 1,227"
11,"Springfield","MA","$ 1.25B","$ 7,994"
12,"Hempstead","NY","$ 1.19B","$ 1,502"
13,"Worcester","MA","$ 1.19B","$ 5,748"
14,"Jersey City","NJ","$ 1.18B","$ 4,042"
15,"Buffalo","NY","$ 1.18B","$ 4,246"
16,"Los Angeles","CA","$ 1.14B","$   293"
17,"Rochester","NY","$ 1.12B","$ 5,317"
18,"Milwaukee","WI","$ 1.11B","$ 1,931"
19,"Baton Rouge","LA","$ 1.00B","$ 4,408"
20,"Waterbury","CT","$ 0.96B","$ 8,404"
21,"Providence","RI","$ 0.88B","$ 4,591"
22,"San Jose","CA","$ 0.85B","$   843"
23,"Miami","FL","$ 0.85B","$ 1,913"
24,"San Antonio","TX","$ 0.81B","$   566"
25,"Mesa","AZ","$ 0.79B","$ 1,565"
26,"Bridgeport","CT","$ 0.77B","$ 5,153"
27,"Cambridge","MA","$ 0.76B","$ 6,420"
28,"Atlanta","GA","$ 0.76B","$ 1,517"
29,"Memphis","TN","$ 0.74B","$ 1,168"
30,"New Haven","CT","$ 0.73B","$ 5,473"
31,"Waltham","MA","$ 0.72B","$11,099"
32,"Edison Township","NJ","$ 0.72B","$ 6,733"
33,"Syracuse","NY","$ 0.72B","$ 4,857"
34,"Joliet","IL","$ 0.69B","$ 4,596"
35,"Newton","MA","$ 0.68B","$ 7,600"
36,"Brockton","MA","$ 0.64B","$ 6,078"
37,"Quincy","MA","$ 0.64B","$ 6,262"
38,"Hoboken","NJ","$ 0.62B","$10,398"
39,"Lowell","MA","$ 0.62B","$ 5,327"
40,"Plymouth","MA","$ 0.58B","$ 9,416"
41,"Hamden","CT","$ 0.58B","$ 9,398"
42,"New Bedford","MA","$ 0.55B","$ 5,424"
43,"Omaha","NE","$ 0.55B","$ 1,112"
44,"Seattle","WA","$ 0.54B","$   734"
45,"Oyster Bay","NY","$ 0.52B","$ 1,731"
46,"Fall River","MA","$ 0.50B","$ 5,294"
47,"White Plains","NY","$ 0.50B","$ 8,352"
48,"Oakland","CA","$ 0.49B","$ 1,119"
49,"Fort Worth","TX","$ 0.48B","$   523"
50,"Hamilton Township","NJ","$ 0.47B","$ 5,061"
