"Rank","Name","State abb","OPEB per Capita","Total OPEB"
1,"Bedford Park","IL","$87,904","$ 0.05B"
2,"Vernon","CA","$74,145","$ 0.02B"
3,"Mccook","IL","$55,735","$ 0.01B"
4,"Rosemont","IL","$37,677","$ 0.15B"
5,"Ocean Beach","NY","$22,485","$ 0.00B"
6,"Sea Isle City","NJ","$18,287","$ 0.04B"
7,"Avalon","NJ","$12,784","$ 0.02B"
8,"Stone Harbor","NJ","$12,666","$ 0.01B"
9,"Yonkers","NY","$12,053","$ 2.55B"
10,"Janesville","WI","$11,691","$ 0.04B"
11,"Tuxedo Park","NY","$11,469","$ 0.01B"
12,"Long Beach Township","NJ","$11,217","$ 0.04B"
13,"Waltham","MA","$11,099","$ 0.72B"
14,"New York","NY","$10,792","$95.02B"
15,"Irwindale","CA","$10,421","$ 0.02B"
16,"Hoboken","NJ","$10,398","$ 0.62B"
17,"Amsterdam","NY","$ 9,960","$ 0.06B"
18,"North Wildwood","NJ","$ 9,901","$ 0.04B"
19,"Plattsburgh","NY","$ 9,853","$ 0.12B"
20,"Medley","FL","$ 9,753","$ 0.01B"
21,"Plymouth","MA","$ 9,416","$ 0.58B"
22,"Hamden","CT","$ 9,398","$ 0.58B"
23,"Nantucket","MA","$ 8,812","$ 0.13B"
24,"Wildwood Crest","NJ","$ 8,638","$ 0.03B"
25,"Cape May","NJ","$ 8,618","$ 0.02B"
26,"Waterbury","CT","$ 8,404","$ 0.96B"
27,"White Plains","NY","$ 8,352","$ 0.50B"
28,"Westfield","MA","$ 8,278","$ 0.34B"
29,"Springfield","MA","$ 7,994","$ 1.25B"
30,"Newton","MA","$ 7,600","$ 0.68B"
31,"Marblehead","MA","$ 7,600","$ 0.16B"
32,"Pittsfield","MA","$ 7,600","$ 0.33B"
33,"Colma","CA","$ 7,474","$ 0.01B"
34,"Hopedale","MA","$ 7,452","$ 0.04B"
35,"North Riverside","IL","$ 7,324","$ 0.05B"
36,"Oswego","NY","$ 7,304","$ 0.12B"
37,"Ocean City","NJ","$ 6,963","$ 0.08B"
38,"Saddle River Borough","NJ","$ 6,892","$ 0.02B"
39,"Edgartown","MA","$ 6,797","$ 0.04B"
40,"Somerset","MA","$ 6,784","$ 0.12B"
41,"Edison Township","NJ","$ 6,733","$ 0.72B"
42,"Niagara Falls","NY","$ 6,694","$ 0.33B"
43,"Beverly","MA","$ 6,679","$ 0.29B"
44,"Harrison","NY","$ 6,633","$ 0.19B"
45,"Scarsdale","NY","$ 6,580","$ 0.12B"
46,"West Springfield","MA","$ 6,480","$ 0.19B"
47,"Lavallette","NJ","$ 6,444","$ 0.01B"
48,"Cambridge","MA","$ 6,420","$ 0.76B"
49,"Swampscott","MA","$ 6,415","$ 0.10B"
50,"Mount Ephraim","NJ","$ 6,414","$ 0.03B"
