"Rank","Name","State abb","Bonds, Loans, & Notes","Bonds, Loans, & Notes per Capita"
1,"New York","NY","$104.55B","$11,875"
2,"Los Angeles","CA","$ 39.11B","$10,032"
3,"Chicago","IL","$ 29.10B","$10,597"
4,"City And County Of San Francisco","CA","$ 23.50B","$26,892"
5,"Houston","TX","$ 13.80B","$ 5,995"
6,"Washington","DC","$ 12.56B","$18,219"
7,"Denver County","CO","$  9.90B","$13,833"
8,"Austin","TX","$  7.78B","$ 8,086"
9,"Atlanta","GA","$  7.36B","$14,763"
10,"City And County Of Honolulu","HI","$  7.15B","$ 7,034"
11,"Philadelphia","PA","$  6.84B","$ 4,264"
12,"Dallas","TX","$  6.19B","$ 4,746"
13,"Seattle","WA","$  6.04B","$ 8,193"
14,"Nashville-Davidson County","TN","$  5.50B","$ 7,677"
15,"Columbus","OH","$  5.35B","$ 5,903"
16,"Charlotte","NC","$  4.78B","$ 5,467"
17,"Kansas City","MO","$  4.65B","$ 9,156"
18,"Baltimore","MD","$  4.53B","$ 7,738"
19,"Salt Lake City","UT","$  4.15B","$20,800"
20,"San Antonio","TX","$  3.96B","$ 2,759"
21,"San Diego","CA","$  3.23B","$ 2,331"
22,"Portland","OR","$  3.17B","$ 4,857"
23,"Colorado Springs","CO","$  3.07B","$ 6,403"
24,"Memphis","TN","$  2.97B","$ 4,698"
25,"San Jose","CA","$  2.75B","$ 2,717"
26,"Jacksonville","FL","$  2.38B","$ 2,504"
27,"Fort Worth","TX","$  2.36B","$ 2,573"
28,"Gainesville","FL","$  2.24B","$15,911"
29,"Long Beach","CA","$  2.24B","$ 4,799"
30,"Detroit","MI","$  2.10B","$ 3,291"
31,"Indianapolis","IN","$  2.09B","$ 2,324"
32,"Cleveland","OH","$  2.00B","$ 5,358"
33,"Boston","MA","$  1.93B","$ 2,849"
34,"Anaheim","CA","$  1.90B","$ 5,475"
35,"Baton Rouge","LA","$  1.83B","$ 8,084"
36,"Mesa","AZ","$  1.82B","$ 3,617"
37,"El Paso","TX","$  1.75B","$ 2,586"
38,"Richmond","VA","$  1.73B","$ 7,647"
39,"Riverside","CA","$  1.72B","$ 5,455"
40,"Norfolk","VA","$  1.66B","$ 6,980"
41,"Milwaukee","WI","$  1.66B","$ 2,869"
42,"Corpus Christi","TX","$  1.60B","$ 5,038"
43,"Arlington","TX","$  1.59B","$ 4,026"
44,"Tacoma","WA","$  1.59B","$ 7,241"
45,"Garland","TX","$  1.56B","$ 6,347"
46,"Wichita","KS","$  1.55B","$ 3,891"
47,"St Louis","MO","$  1.50B","$ 4,978"
48,"Denton","TX","$  1.49B","$10,678"
49,"Lubbock","TX","$  1.43B","$ 5,549"
50,"Tampa","FL","$  1.42B","$ 3,696"
