"Rank","Name","State abb","Bonds, Loans, & Notes per Capita","Bonds, Loans, & Notes"
1,"San Juan County School District No. 1","CO","$Inf","$0.00B"
2,"Luther School District No. 1-3","OK","$Inf","$0.00B"
3,"Kellyville Independent School District No. 31","OK","$Inf","$0.00B"
4,"Silo Independent School District No. 1","OK","$Inf","$0.00B"
5,"School District Of The City Of Highland Park","MI","$Inf","$0.01B"
6,"Windover High School","MI","$Inf","$0.00B"
7,"Lane Educational Service District","OR","$Inf","$0.00B"
8,"Parnassus Preparatory School","MN","$Inf","$0.03B"
9,"County Of Winnebago School District No. 320","IL","$Inf","$0.01B"
10,"Perham Independent School District No. 549","MN","$Inf","$0.03B"
11,"Ringwood School District","NJ","$Inf","$0.01B"
12,"Delaware-Chenango-Madison-Otsego Boces","NY","$Inf","$0.02B"
13,"Scottsbluff Public Schools","NE","$Inf","$0.03B"
14,"Tonkawa School District No. I-87","OK","$Inf","$0.00B"
15,"Two Rivers Supervisory Union","VT","$Inf","$0.00B"
16,"Perry Independent School District No. 1","OK","$Inf","$0.00B"
17,"North Central Educational Service District No. 171","WA","$Inf","$0.00B"
18,"Dawson Educational Cooperative","AR","$Inf","$0.00B"
19,"South Central Service Cooperative","AR","$Inf","$0.00B"
20,"Keota Independent School District No. 43","OK","$Inf","$0.00B"
21,"Northwest Ohio Educational Service Center","OH","$Inf","$0.00B"
22,"School District Of Lodi","WI","$Inf","$0.01B"
23,"Lawrence County Independent Schools Ltd.","IN","$Inf","$0.00B"
24,"Educational Services Commission Of New Jersey","NJ","$Inf","$0.04B"
25,"Kingsburg Elementary Charter School District","CA","$Inf","$0.02B"
26,"Barnwell School District No. 45","SC","$Inf","$0.00B"
27,"Borough Of Bellmawr School District","NJ","$Inf","$0.00B"
28,"Oneida Herkimer And Madison Counties Boces","NY","$Inf","$0.01B"
29,"Onondaga Cortland Madison Boces","NY","$Inf","$0.02B"
30,"Orange Ulster Boces","NY","$Inf","$0.02B"
31,"Board Of Cooperative Educational Services Of Rockland County","NY","$Inf","$0.00B"
32,"Polaris Career Center","OH","$Inf","$0.00B"
33,"Knox County Career Center","OH","$Inf","$0.00B"
34,"Putnam County Educational Service Center","OH","$Inf","$0.00B"
35,"Canadian Valley Technology Center No. 6","OK","$Inf","$0.00B"
36,"Region 19 Education Service Center","TX","$Inf","$0.01B"
37,"Franklin West Supervisory Union","VT","$Inf","$0.00B"
38,"Windham Northeast Supervisory Union","VT","$Inf","$0.00B"
39,"Windsor Southeast Supervisory Union","VT","$Inf","$0.00B"
40,"North Central Ohio Educational Service Center","OH","$Inf","$0.00B"
41,"Harris County Department Of Education","TX","$Inf","$0.06B"
42,"Hamilton County Educational Service Center","OH","$Inf","$0.00B"
43,"Auburn Vocational School District","OH","$Inf","$0.00B"
44,"Vermilion County School District No. 2 Bismarck-Henning","IL","$Inf","$0.01B"
45,"Muncie Community Schools","IN","$Inf","$0.04B"
46,"Intermounain Educational Service District","OR","$Inf","$0.02B"
47,"Capital Area Career Center","IL","$Inf","$0.00B"
48,"Education Service Center Region No. 10","TX","$Inf","$0.00B"
49,"Mercer County Educational Service Center","OH","$Inf","$0.00B"
50,"Ross-Pike Educational Service District","OH","$Inf","$0.00B"
