"Rank","Name","State abb","Total Long Term Debt","Long Term Debt per Capita"
1,"Chicago Board Of Education","IL","$28.61B","$88,944"
2,"Los Angeles Unified School District","CA","$26.64B","$62,276"
3,"Clark County School District","NV","$ 7.64B","$24,662"
4,"School District Of Philadelphia","PA","$ 7.09B","$59,944"
5,"San Diego Unified School District","CA","$ 7.06B","$75,190"
6,"The School Board Of Miami-Dade County","FL","$ 5.82B","$17,423"
7,"Gwinnett County Board Of Education","GA","$ 5.40B","$29,690"
8,"Dallas Independent School District","TX","$ 4.97B","$35,191"
9,"Cypress-Fairbanks Independent School District","TX","$ 4.41B","$37,360"
10,"The School Board Of Broward County","FL","$ 4.07B","$15,994"
11,"Fairfax County Public Schools","VA","$ 3.76B","$20,891"
12,"New York City Geographic District #31","NY","$ 3.60B","$59,658"
13,"City And County Of Denver School District No. 1","CO","$ 3.58B","$40,696"
14,"New York City Geographic District # 2","NY","$ 3.28B","$59,658"
15,"Lamar Consolidated Independent School District","TX","$ 3.24B","$76,276"
16,"Houston Independent School District","TX","$ 3.12B","$16,401"
17,"The School District Of Palm Beach County","FL","$ 3.07B","$16,275"
18,"The Board Of Education Of Montgomery County","MD","$ 3.07B","$19,142"
19,"New York City Geographic District #24","NY","$ 3.05B","$59,658"
20,"Long Beach Unified School District","CA","$ 3.05B","$46,465"
21,"Prince George’s County Public Schools","MD","$ 2.99B","$22,778"
22,"Northside Independent School District (Bexar County)","TX","$ 2.98B","$29,018"
23,"Katy Independent School District","TX","$ 2.87B","$31,005"
24,"Frisco Independent School District","TX","$ 2.83B","$42,296"
25,"New York City Geographic District #20","NY","$ 2.79B","$59,658"
26,"New York City Geographic District #10","NY","$ 2.68B","$59,658"
27,"San Francisco Unified School District","CA","$ 2.58B","$52,892"
28,"Austin Independent School District","TX","$ 2.57B","$34,960"
29,"Wake County Board Of Education","NC","$ 2.49B","$15,556"
30,"Cobb County School District","GA","$ 2.47B","$23,161"
31,"New York City Geographic District #27","NY","$ 2.47B","$59,658"
32,"Fresno Unified School District","CA","$ 2.43B","$34,811"
33,"Board Of Education City Of Buffalo","NY","$ 2.37B","$78,775"
34,"Charlotte-Mecklenburg Board Of Education","NC","$ 2.33B","$16,161"
35,"Orange County District School Board","FL","$ 2.33B","$11,215"
36,"Jefferson County School District","CO","$ 2.29B","$30,362"
37,"Albuquerque Municipal School District No. 12","NM","$ 2.25B","$28,158"
38,"Multnomah County School District No. 1j","OR","$ 2.24B","$49,966"
39,"The School District Of Greenville County","SC","$ 2.22B","$28,484"
40,"New York City Geographic District #28","NY","$ 2.22B","$59,658"
41,"Dekalb County Board Of Education","GA","$ 2.22B","$23,985"
42,"Fort Worth Independent School District","TX","$ 2.16B","$29,672"
43,"New York City Geographic District #30","NY","$ 2.15B","$59,658"
44,"Washoe County School District","NV","$ 2.15B","$33,322"
45,"Fort Bend Independent School District","TX","$ 2.11B","$26,498"
46,"Hillsborough County Public Schools","FL","$ 2.10B","$ 9,375"
47,"Fulton County Board Of Education","GA","$ 2.08B","$23,078"
48,"New York City Geographic District #25","NY","$ 2.07B","$59,658"
49,"New York City Geographic District #21","NY","$ 2.05B","$59,658"
50,"Douglas County School District No. 0001","NE","$ 2.00B","$38,602"
