"Rank","Name","State abb","Long Term Debt per Capita","Total Long Term Debt"
1,"Lancaster-Lebanon Intermediate Unit No. 13","PA","$313,429","$0.26B"
2,"Bucks County Intermediate Unit No. 22","PA","$305,970","$0.19B"
3,"Los Angeles County Office Of Education","CA","$280,008","$0.43B"
4,"Beverly Hills Unified School District","CA","$260,853","$0.82B"
5,"Fresno County Superintendent Of Schools","CA","$226,214","$0.17B"
6,"Shelby County R-Iv School District","MO","$215,195","$0.15B"
7,"Livingston Educational Service Agency","MI","$208,092","$0.12B"
8,"Monterey County Office Of Education","CA","$203,683","$0.13B"
9,"Washtenaw Intermediate School District","MI","$191,499","$0.17B"
10,"Van Buren Intermediate School District","MI","$181,750","$0.11B"
11,"Riverside County Office Of Education","CA","$180,204","$0.24B"
12,"San Diego County Office Of Education","CA","$180,102","$0.19B"
13,"Stanislaus County Office Of Education","CA","$175,599","$0.13B"
14,"Minuteman Regional Vocational Technical School District","MA","$171,816","$0.12B"
15,"Berne Knox Westerlo Central School District","NY","$163,268","$0.12B"
16,"Intermediate District No. 287","MN","$162,190","$0.14B"
17,"Santa Clara County Office Of Education","CA","$157,264","$0.22B"
18,"Emery Unified School District","CA","$151,264","$0.09B"
19,"Pecos-Barstow-Toyah Independent School District","TX","$150,792","$0.42B"
20,"Salmon River Central School District","NY","$150,667","$0.21B"
21,"Ausable Valley Central School District","NY","$143,781","$0.17B"
22,"Middleburgh Central School District","NY","$142,292","$0.09B"
23,"Pine Plains Central School District","NY","$140,925","$0.12B"
24,"Onteora Central School District","NY","$140,639","$0.16B"
25,"Ventura County Office Of Education","CA","$139,374","$0.08B"
26,"San Bernardino County Superintendent Of Schools","CA","$139,219","$0.28B"
27,"Lake Placid Central School District","NY","$139,088","$0.08B"
28,"Portola Valley School District","CA","$138,774","$0.07B"
29,"Rhinebeck Central School District","NY","$137,053","$0.13B"
30,"Plattsburgh City School District","NY","$136,945","$0.24B"
31,"Jackson County Intermediate School District","MI","$136,736","$0.16B"
32,"Northeast Metropolitan Intermediate School District No. 916","MN","$136,167","$0.12B"
33,"Peru Central School District","NY","$135,876","$0.26B"
34,"Las Lomitas Elementary School District","CA","$131,364","$0.15B"
35,"Healdsburg Unified School District","CA","$131,144","$0.16B"
36,"Santa Monica-Malibu Unified School District","CA","$128,980","$1.14B"
37,"Port Jefferson Union Free School District","NY","$128,414","$0.12B"
38,"Ticonderoga Central School District","NY","$128,395","$0.09B"
39,"Saranac Lake Central School District","NY","$126,739","$0.14B"
40,"Highland Park Independent School District (Potter County)","TX","$125,392","$0.10B"
41,"Kern County Superintendent Of Schools","CA","$124,316","$0.26B"
42,"Canton Central School District","NY","$122,665","$0.14B"
43,"Special School District Of St. Louis County","MO","$121,871","$0.51B"
44,"Santa Rosa City Schools","CA","$121,693","$0.58B"
45,"Colonial Intermediate Unit No. 20","PA","$120,670","$0.18B"
46,"West Hempstead Union Free School District","NY","$119,893","$0.19B"
47,"Schoharie Central School District","NY","$118,763","$0.10B"
48,"Norwood-Norfolk Central School District","NY","$117,384","$0.12B"
49,"Sacramento County Office Of Education","CA","$117,325","$0.11B"
50,"Cobleskill-Richmondville Central School District","NY","$117,265","$0.17B"
