"Rank","Name","State abb","Pension Debt per Capita","Total Pension Debt"
1,"Dampe Community School","OH","$Inf","$0.00B"
2,"San Juan County School District No. 1","CO","$Inf","$0.00B"
3,"Kiamichi Technology Center No. 7","OK","$Inf","$0.02B"
4,"Three Lakes Educational Cooperative","KS","$Inf","$0.00B"
5,"Unified School District No. 247","KS","$Inf","$0.01B"
6,"Muskingum Valley Educational Service Center","OH","$Inf","$0.02B"
7,"Lane Educational Service District","OR","$Inf","$0.01B"
8,"Warren County Educational Service Center","OH","$Inf","$0.03B"
9,"Board Of Cooperative Educational Services First Supervisory District Of Erie County","NY","$Inf","$0.03B"
10,"Prairie Lakes Area Education Agency","IA","$Inf","$0.01B"
11,"Area Special Education Cooperative Council No. 997","MN","$Inf","$0.00B"
12,"Parnassus Preparatory School","MN","$Inf","$0.01B"
13,"Ohio Digital Learning School","OH","$Inf","$0.00B"
14,"Lake Region Special Education District","ND","$Inf","$0.00B"
15,"Sheyenne Valley Special Education Unit","ND","$Inf","$0.01B"
16,"Grant County Educational Service District","OR","$Inf","$0.00B"
17,"County Of Winnebago School District No. 320","IL","$Inf","$0.00B"
18,"Perham Independent School District No. 549","MN","$Inf","$0.01B"
19,"Ringwood School District","NJ","$Inf","$0.00B"
20,"Madison Oneida Boces","NY","$Inf","$0.01B"
21,"Delaware-Chenango-Madison-Otsego Boces","NY","$Inf","$0.01B"
22,"Educational Service Unit No. 2","NE","$Inf","$0.00B"
23,"Career Development System","IL","$Inf","$0.00B"
24,"South Central Kansas Special Education Cooperative","KS","$Inf","$0.01B"
25,"Educational Service Unit No. 7","NE","$Inf","$0.00B"
26,"Cuyahoga Valley Career Center","OH","$Inf","$0.01B"
27,"Gallia-Vinton Educational Service Center","OH","$Inf","$0.01B"
28,"Two Rivers Supervisory Union","VT","$Inf","$0.00B"
29,"Central Rivers Area Education Agency","IA","$Inf","$0.02B"
30,"Summit Educational Service Center","OH","$Inf","$0.03B"
31,"North Central Educational Service District No. 171","WA","$Inf","$0.00B"
32,"Will County Regional Office Of Education No. 56","IL","$Inf","$0.00B"
33,"Reno County Education Cooperative No. 610","KS","$Inf","$0.00B"
34,"Boces First Supervisory District Of Monroe County","NY","$Inf","$0.02B"
35,"Otsego-Northern Catskill Boces","NY","$Inf","$0.00B"
36,"Ashtabula County Educational Service Center","OH","$Inf","$0.01B"
37,"Dawson Educational Cooperative","AR","$Inf","$0.02B"
38,"Southwest Cook County Cooperative Association For Special Education","IL","$Inf","$0.00B"
39,"Burleigh County Multi-District Special Education Unit","ND","$Inf","$0.00B"
40,"James River Special Education Cooperative","ND","$Inf","$0.00B"
41,"Athens-Meigs Educational Service Center","OH","$Inf","$0.01B"
42,"South Central Service Cooperative","AR","$Inf","$0.00B"
43,"Northeast Arkansas Educational Cooperative","AR","$Inf","$0.01B"
44,"Oliver-Mercer Multidistrict Special Education Unit","ND","$Inf","$0.00B"
45,"Clinton-Essex-Warren-Washington Counties Boces","NY","$Inf","$0.01B"
46,"Northwest Ohio Educational Service Center","OH","$Inf","$0.02B"
47,"Bitterroot Valley Education Cooperative","MT","$Inf","$0.00B"
48,"Byrneville Elementary School","FL","$Inf","$0.00B"
49,"Great Divide Education Services","MT","$Inf","$0.00B"
50,"School District Of Lodi","WI","$Inf","$0.00B"
