"","state_abbr","state_name","total_liabilities","population","percap_total_liabilities"
"1","ID","Idaho",10920368377,1839092,5938
"2","IN","Indiana",41478512719,6785668,6113
"3","TN","Tennessee",42442090614,6910786,6141
"4","SD","South Dakota",6304167058,886677,7110
"5","OK","Oklahoma",29797153956,3959346,7526
"6","UT","Utah",25406911675,3271614,7766
"7","WV","West Virginia",14456607635,1793755,8059
"8","MO","Missouri",54363806711,6154920,8833
"9","AR","Arkansas",27019906828,3011555,8972
"10","MS","Mississippi",27461694091,2961288,9274
"11","IA","Iowa",30063764329,3190372,9423
"12","MT","Montana",10436564565,1084197,9626
"13","NC","North Carolina",104838609103,10439414,10043
"14","NH","New Hampshire",14016406064,1377518,10175
"15","ME","Maine",13873885430,1362341,10184
"16","NE","Nebraska",19994823707,1961489,10194
"17","FL","Florida",233944995410,21538226,10862
"18","AL","Alabama",54913990488,5024356,10930
"19","VA","Virginia",94621043752,8631384,10962
"20","KS","Kansas",33715555774,2937847,11476
"21","WI","Wisconsin",67709092473,5893725,11488
"22","AZ","Arizona",83240752033,7151507,11640
"23","GA","Georgia",131226102447,10711937,12250
"24","SC","South Carolina",62951589581,5118429,12299
"25","OH","Ohio",149162268275,11799374,12642
"26","MN","Minnesota",73632309199,5706504,12903
"27","KY","Kentucky",60214863570,4505893,13364
"28","PA","Pennsylvania",175925037322,13002689,13530
"29","VT","Vermont",8765386166,643085,13630
"30","MI","Michigan",140935041932,10077325,13985
"31","NV","Nevada",44034434475,3104624,14183
"32","CO","Colorado",89060439365,5773733,15425
"33","LA","Louisiana",73629677570,4657749,15808
"34","OR","Oregon",67453019971,4237291,15919
"35","NM","New Mexico",34955174667,2117527,16508
"36","RI","Rhode Island",18879581317,1097371,17204
"37","WA","Washington",143083164577,7705247,18570
"38","TX","Texas",550027736853,29145428,18872
"39","MD","Maryland",125429231343,6177213,20305
"40","AK","Alaska",15267643077,733378,20818
"41","WY","Wyoming",12024373854,576837,20845
"42","DE","Delaware",20692525708,989957,20902
"43","HI","Hawaii",32227176120,1455273,22145
"44","ND","North Dakota",19702995906,779091,25290
"45","CA","California",1045070989168,39538245,26432
"46","MA","Massachusetts",198627210907,7029949,28254
"47","IL","Illinois",407587227826,12812545,31812
"48","NJ","New Jersey",309899975871,9289031,33362
"49","CT","Connecticut",124742069322,3605942,34593
"50","NY","New York",798455925193,20201230,39525
