"State Name","State Gov Total Debt","State Gov Debt per Capita"
"California","$496.81B","$12,565"
"New York","$233.27B","$11,547"
"Illinois","$222.82B","$17,391"
"Texas","$216.93B","$ 7,443"
"New Jersey","$213.35B","$22,968"
"Massachusetts","$120.09B","$17,082"
"Connecticut","$ 94.43B","$26,187"
"Washington","$ 93.37B","$12,118"
"Pennsylvania","$ 76.35B","$ 5,872"
"Florida","$ 71.82B","$ 3,334"
"Maryland","$ 60.63B","$ 9,816"
"Ohio","$ 55.77B","$ 4,726"
"Georgia","$ 48.23B","$ 4,503"
"Colorado","$ 43.12B","$ 7,469"
"Kentucky","$ 42.25B","$ 9,376"
"Michigan","$ 39.21B","$ 3,891"
"Louisiana","$ 38.58B","$ 8,283"
"Virginia","$ 34.85B","$ 4,037"
"North Carolina","$ 32.22B","$ 3,086"
"Wisconsin","$ 29.14B","$ 4,943"
"Hawaii","$ 27.52B","$18,909"
"Oregon","$ 26.14B","$ 6,169"
"Arizona","$ 24.62B","$ 3,443"
"Minnesota","$ 23.36B","$ 4,094"
"Missouri","$ 21.16B","$ 3,438"
"Indiana","$ 20.19B","$ 2,975"
"South Carolina","$ 18.32B","$ 3,578"
"New Mexico","$ 18.29B","$ 8,637"
"Delaware","$ 17.36B","$17,535"
"Alabama","$ 16.83B","$ 3,350"
"Mississippi","$ 14.17B","$ 4,784"
"Tennessee","$ 13.49B","$ 1,952"
"Arkansas","$ 12.00B","$ 3,985"
"Oklahoma","$ 11.37B","$ 2,871"
"Alaska","$ 10.90B","$14,861"
"West Virginia","$ 10.58B","$ 5,897"
"North Dakota","$ 10.41B","$13,357"
"Iowa","$ 10.15B","$ 3,180"
"Kansas","$ 10.07B","$ 3,427"
"Maine","$  8.96B","$ 6,576"
"Wyoming","$  8.90B","$15,433"
"Rhode Island","$  8.88B","$ 8,093"
"Vermont","$  7.03B","$10,930"
"Utah","$  6.56B","$ 2,006"
"New Hampshire","$  6.02B","$ 4,374"
"Montana","$  5.85B","$ 5,394"
"Nebraska","$  4.91B","$ 2,503"
"Idaho","$  4.83B","$ 2,625"
"South Dakota","$  2.46B","$ 2,776"
